day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,1
Feb27,13,1
Feb28,14,1
Feb29,15,1
Mar01,16,1
Mar02,17,1
Mar03,18,1
Mar04,19,1
Mar05,20,1
Mar06,21,1
Mar07,22,1
Mar08,23,1
Mar09,24,1
Mar10,25,1
Mar11,26,2
Mar12,27,5
Mar13,28,5
Mar14,29,8
Mar15,30,12
Mar16,31,12
Mar17,32,14
Mar18,33,17
Mar19,34,17
Mar20,35,18
Mar21,36,19
Mar22,37,25
Mar23,38,33
Mar24,39,35
Mar25,40,38
Mar26,41,45
Mar27,42,54
Mar28,43,68
Mar29,44,71
Mar30,45,78
Mar31,46,88
Apr01,47,96
Apr02,48,107
Apr03,49,136
Apr04,50,144
Apr05,51,152
Apr06,52,163
Apr07,53,177
Apr08,54,182
Apr09,55,203
Apr10,56,221
Apr11,57,247
Apr12,58,297
Apr13,59,315
Apr14,60,335
Apr15,61,349
Apr16,62,362
Apr17,63,387
Apr18,64,397
Apr19,65,409
Apr20,66,428
Apr21,67,437
Apr22,68,446
Apr23,69,462
Apr24,70,477
Apr25,71,494
Apr26,72,501
Apr27,73,511
Apr28,74,530
Apr29,75,558
Apr30,76,568
May01,77,579
May02,78,603
May03,79,607
May04,80,623
May05,81,637
May06,82,658
May07,83,685
May08,84,696
May09,85,704
May10,86,719
May11,87,726
May12,88,751
May13,89,772
May14,90,790
May15,91,806
May16,92,817
May17,93,824
May18,94,831
May19,95,837
May20,96,842
May21,97,846
May22,98,857
May23,99,863
May24,100,868
May25,101,873
May26,102,886
May27,103,904
May28,104,921
May29,105,942
May30,106,950
May31,107,957
Jun01,108,960
Jun02,109,966
Jun03,110,974
Jun04,111,984
Jun05,112,987
Jun06,113,994
Jun07,114,1003
Jun08,115,1011
Jun09,116,1017
Jun10,117,1027
Jun11,118,1036
Jun12,119,1052
Jun13,120,1074
Jun14,121,1088
Jun15,122,1098
Jun16,123,1103
Jun17,124,1108
Jun18,125,1116
Jun19,126,1130
Jun20,127,1150
Jun21,128,1169
Jun22,129,1177
Jun23,130,1186
Jun24,131,1204
Jun25,132,1212
Jun26,133,1224
Jun27,134,1236
Jun28,135,1244
Jun29,136,1255
Jun30,137,1266
Jul01,138,1270
Jul02,139,1274
Jul03,140,1280
Jul04,141,1290
