day,dayNo,case
Mar04,1,1
Mar05,2,1
Mar06,3,5
Mar07,4,6
Mar08,5,11
Mar09,6,17
Mar10,7,22
Mar11,8,31
Mar12,9,51
Mar13,10,68
Mar14,11,104
Mar15,12,125
Mar16,13,177
Mar17,14,238
Mar18,15,287
Mar19,16,355
Mar20,17,425
Mar21,18,536
Mar22,19,634
Mar23,20,749
Mar24,21,901
Mar25,22,1051
Mar26,23,1221
Mar27,24,1389
Mar28,25,1638
Mar29,26,1862
Mar30,27,2055
Mar31,28,2311
Apr01,29,2554
Apr02,30,2946
Apr03,31,3383
Apr04,32,3627
Apr05,33,4102
Apr06,34,4413
Apr07,35,4848
Apr08,36,5205
Apr09,37,5575
Apr10,38,5955
Apr11,39,6356
Apr12,40,6674
Apr13,41,6934
Apr14,42,7202
Apr15,43,7582
Apr16,44,7918
Apr17,45,8379
Apr18,46,8742
Apr19,47,9287
Apr20,48,9593
Apr21,49,9856
Apr22,50,10169
Apr23,51,10511
Apr24,52,10892
Apr25,53,11273
Apr26,54,11617
Apr27,55,11902
Apr28,56,12218
Apr29,57,12640
Apr30,58,12877
May01,59,13105
May02,60,13375
May03,61,13693
May04,62,14006
May05,63,14431
May06,64,14740
May07,65,15047
May08,66,15366
May09,67,15651
May10,68,15996
May11,69,16326
May12,70,16921
May13,71,17204
May14,72,17615
May15,73,18016
May16,74,18257
May17,75,18529
May18,76,18885
May19,77,19268
May20,78,19739
May21,79,20143
May22,80,20619
May23,81,20931
May24,82,21326
May25,83,21631
May26,84,22074
May27,85,22473
May28,86,22825
May29,87,23155
May30,88,23571
May31,89,23786
Jun01,90,24165
Jun02,91,24395
Jun03,92,24687
Jun04,93,25048
Jun05,94,25410
Jun06,95,25986
Jun07,96,26561
Jun08,97,27160
Jun09,98,27560
Jun10,99,27842
Jun11,100,28201
Jun12,101,28577
Jun13,102,29017
Jun14,103,29392
Jun15,104,29788
Jun16,105,30195
Jun17,106,30701
Jun18,107,31015
Jun19,108,31316
Jun20,109,31620
Jun21,110,31931
Jun22,111,32227
Jun23,112,32527
Jun24,113,32821
Jun25,114,33119
Jun26,115,33395
Jun27,116,33714
Jun28,117,33907
Jun29,118,34154
Jun30,119,34393
Jul01,120,34775
Jul02,121,35146
Jul03,122,35405
Jul04,123,35719
