day,dayNo,case
Mar12,1,1
Mar13,2,2
Mar14,3,3
Mar15,4,3
Mar16,5,4
Mar17,6,5
Mar18,7,5
Mar19,8,5
Mar20,9,5
Mar21,10,5
Mar22,11,7
Mar23,12,8
Mar24,13,10
Mar25,14,14
Mar26,15,16
Mar27,16,16
Mar28,17,18
Mar29,18,22
Mar30,19,31
Mar31,20,33
Apr01,21,43
Apr02,22,57
Apr03,23,71
Apr04,24,79
Apr05,25,94
Apr06,26,107
Apr07,27,129
Apr08,28,159
Apr09,29,174
Apr10,30,181
Apr11,31,208
Apr12,32,232
Apr13,33,245
Apr14,34,263
Apr15,35,286
Apr16,36,314
Apr17,37,332
Apr18,38,347
Apr19,39,360
Apr20,40,380
Apr21,41,401
Apr22,42,426
Apr23,43,454
Apr24,44,494
Apr25,45,524
Apr26,46,535
Apr27,47,562
Apr28,48,596
Apr29,49,624
Apr30,50,644
May01,51,651
