day,dayNo,case
Mar02,1,2
Mar03,2,4
Mar04,3,6
Mar05,4,9
Mar06,5,13
Mar07,6,21
Mar08,7,30
Mar09,8,39
Mar10,9,41
Mar11,10,61
Mar12,11,78
Mar13,12,112
Mar14,13,169
Mar15,14,245
Mar16,15,331
Mar17,16,448
Mar18,17,642
Mar19,18,786
Mar20,19,1020
Mar21,20,1280
Mar22,21,1600
Mar23,22,2060
Mar24,23,2362
Mar25,24,2995
Mar26,25,3544
Mar27,26,4268
Mar28,27,5170
Mar29,28,5962
Mar30,29,6408
Mar31,30,7443
Apr01,31,8251
Apr02,32,9034
Apr03,33,9886
Apr04,34,10524
Apr05,35,11278
Apr06,36,11730
Apr07,37,12442
Apr08,38,13141
Apr09,39,13956
Apr10,40,15472
Apr11,41,15987
Apr12,42,16585
Apr13,43,16934
Apr14,44,17448
Apr15,45,18091
Apr16,46,18841
Apr17,47,19022
Apr18,48,19685
Apr19,49,20206
Apr20,50,20863
Apr21,51,21379
Apr22,52,21982
Apr23,53,22353
Apr24,54,22797
Apr25,55,23294
Apr26,56,23688
Apr27,57,23824
Apr28,58,24070
Apr29,59,24223
Apr30,60,24674
May01,61,24987
May02,62,25190
May03,63,25282
May04,64,25524
May05,65,25702
May06,66,26182
May07,67,26715
May08,68,27268
May09,69,27406
May10,70,27581
May11,71,27679
May12,72,27913
May13,73,28132
May14,74,28319
May15,75,28583
May16,76,28810
May17,77,29036
May18,78,29209
May19,79,29432
May20,80,29660
May21,81,29912
May22,82,30200
May23,83,30471
May24,84,30623
May25,85,30788
May26,86,31007
May27,87,31292
May28,88,31596
May29,89,31946
May30,90,32203
May31,91,32500
Jun01,92,32700
Jun02,93,32895
Jun03,94,33261
Jun04,95,33592
Jun05,96,33969
Jun06,97,34351
Jun07,98,34693
Jun08,99,34885
Jun09,100,35306
Jun10,101,35600
Jun11,102,35910
Jun12,103,36180
Jun13,104,36463
Jun14,105,36690
Jun15,106,37036
Jun16,107,37336
Jun17,108,37672
Jun18,109,38089
Jun19,110,38464
Jun20,111,38841
Jun21,112,39133
Jun22,113,39392
Jun23,114,39737
Jun24,115,40104
Jun25,116,40415
Jun26,117,40866
Jun27,118,41189
Jun28,119,41646
Jun29,120,41912
Jun30,121,42141
Jul01,122,42454
Jul02,123,42782
Jul03,124,43156
Jul04,125,43569
