day,dayNo,case
Mar16,1,1
Mar17,2,1
Mar18,3,2
Mar19,4,4
Mar20,5,6
Mar21,6,12
Mar22,7,14
Mar23,8,23
Mar24,9,33
Mar25,10,43
Mar26,11,60
Mar27,12,76
Mar28,13,100
Mar29,14,119
Mar30,15,140
Mar31,16,160
Apr01,17,187
Apr02,18,209
Apr03,19,246
Apr04,20,266
Apr05,21,295
Apr06,22,311
Apr07,23,345
Apr08,24,380
Apr09,25,409
Apr10,26,435
Apr11,27,470
Apr12,28,504
Apr13,29,535
Apr14,30,567
Apr15,31,599
Apr16,32,629
Apr17,33,657
Apr18,34,687
Apr19,35,714
Apr20,36,735
Apr21,37,762
Apr22,38,785
Apr23,39,820
Apr24,40,854
Apr25,41,880
Apr26,42,903
Apr27,43,928
Apr28,44,948
Apr29,45,973
Apr30,46,989
May01,47,1007
May02,48,1023
May03,49,1043
May04,50,1063
May05,51,1074
May06,52,1089
May07,53,1105
May08,54,1114
May09,55,1126
May10,56,1135
May11,57,1144
May12,58,1163
May13,59,1175
May14,60,1184
May15,61,1190
May16,62,1203
May17,63,1218
May18,64,1231
May19,65,1247
May20,66,1263
May21,67,1277
May22,68,1289
May23,69,1302
May24,70,1316
May25,71,1330
May26,72,1342
May27,73,1356
May28,74,1369
May29,75,1383
May30,76,1396
May31,77,1410
Jun01,78,1424
Jun02,79,1436
Jun03,80,1447
Jun04,81,1455
Jun05,82,1465
Jun06,83,1474
Jun07,84,1479
Jun08,85,1485
Jun09,86,1492
Jun10,87,1497
Jun11,88,1504
Jun12,89,1505
Jun13,90,1512
Jun14,91,1517
Jun15,92,1520
Jun16,93,1522
Jun17,94,1523
Jun18,95,1524
Jun19,96,1527
Jun20,97,1528
Jun21,98,1530
Jun22,99,1534
Jun23,100,1540
Jun24,101,1543
Jun25,102,1549
Jun26,103,1555
Jun27,104,1561
Jun28,105,1564
Jun29,106,1568
Jun30,107,1576
Jul01,108,1579
Jul02,109,1587
Jul03,110,1598
Jul04,111,1605
