day,dayNo,case
Feb29,1,1
Mar01,2,3
Mar02,3,7
Mar03,4,8
Mar04,5,8
Mar05,6,8
Mar06,7,11
Mar07,8,12
Mar08,9,15
Mar09,10,18
Mar10,11,24
Mar11,12,262
Mar12,13,262
Mar13,14,320
Mar14,15,337
Mar15,16,401
Mar16,17,439
Mar17,18,442
Mar18,19,452
Mar19,20,460
Mar20,21,470
Mar21,22,481
Mar22,23,494
Mar23,24,501
Mar24,25,526
Mar25,26,537
Mar26,27,549
Mar27,28,562
Mar28,29,590
Mar29,30,634
Mar30,31,693
Mar31,32,781
Apr01,33,835
Apr02,34,949
Apr03,35,1075
Apr04,36,1325
Apr05,37,1604
Apr06,38,1832
Apr07,39,2057
Apr08,40,2210
Apr09,41,2376
Apr10,42,2512
Apr11,43,2728
Apr12,44,2979
Apr13,45,3231
Apr14,46,3428
Apr15,47,3711
Apr16,48,4103
Apr17,49,4663
Apr18,50,5008
Apr19,51,5448
Apr20,52,6015
Apr21,53,6533
Apr22,54,7141
Apr23,55,7764
Apr24,56,8525
Apr25,57,9358
Apr26,58,10287
Apr27,59,11244
Apr28,60,11921
Apr29,61,12564
Apr30,62,13409
May01,63,14096
