day,dayNo,case
Mar28,1,1
Mar29,2,1
Mar30,3,1
Mar31,4,2
Apr01,5,2
Apr02,6,3
Apr03,7,3
Apr04,8,3
Apr05,9,4
Apr06,10,4
Apr07,11,6
Apr08,12,6
Apr09,13,6
Apr10,14,6
Apr11,15,6
Apr12,16,7
Apr13,17,7
Apr14,18,7
Apr15,19,7
Apr16,20,7
Apr17,21,7
Apr18,22,8
Apr19,23,8
Apr20,24,9
Apr21,25,9
Apr22,26,10
Apr23,27,10
Apr24,28,10
Apr25,29,10
Apr26,30,10
Apr27,31,10
Apr28,32,10
Apr29,33,10
Apr30,34,10
May01,35,12
May02,36,12
May03,37,12
May04,38,12
May05,39,12
May06,40,12
May07,41,12
May08,42,12
May09,43,13
May10,44,14
May11,45,14
May12,46,14
May13,47,14
May14,48,14
May15,49,14
May16,50,15
May17,51,15
May18,52,15
May19,53,15
May20,54,16
May21,55,17
May22,56,19
May23,57,21
May24,58,23
May25,59,26
May26,60,28
May27,61,30
May28,62,33
May29,63,36
May30,64,36
May31,65,38
Jun01,66,40
Jun02,67,43
Jun03,68,45
Jun04,69,45
Jun05,70,49
Jun06,71,51
Jun07,72,54
Jun08,73,57
Jun09,74,62
Jun10,75,66
Jun11,76,69
Jun12,77,70
Jun13,78,70
Jun14,79,73
Jun15,80,76
Jun16,81,80
Jun17,82,82
Jun18,83,86
Jun19,84,93
Jun20,85,94
Jun21,86,98
Jun22,87,99
Jun23,88,99
Jun24,89,104
Jun25,90,106
Jun26,91,109
Jun27,92,110
Jun28,93,110
Jun29,94,113
Jun30,95,113
Jul01,96,115
Jul02,97,118
Jul03,98,121
Jul04,99,123
