day,dayNo,case
Feb26,1,1
Feb27,2,1
Feb28,3,3
Feb29,4,3
Mar01,5,3
Mar02,6,3
Mar03,7,4
Mar04,8,6
Mar05,9,6
Mar06,10,9
Mar07,11,13
Mar08,12,15
Mar09,13,17
Mar10,14,29
Mar11,15,47
Mar12,16,59
Mar13,17,95
Mar14,18,123
Mar15,19,139
Mar16,20,168
Mar17,21,217
Mar18,22,260
Mar19,23,277
Mar20,24,308
Mar21,25,367
Mar22,26,433
Mar23,27,576
Mar24,28,794
Mar25,29,906
Mar26,30,1029
Mar27,31,1292
Mar28,32,1452
Mar29,33,1815
Mar30,34,2109
Mar31,35,2245
Apr01,36,2460
Apr02,37,2738
Apr03,38,3183
Apr04,39,3613
Apr05,40,3864
Apr06,41,4057
Apr07,42,4417
Apr08,43,4761
Apr09,44,5202
Apr10,45,5467
Apr11,46,5990
Apr12,47,6300
Apr13,48,6633
Apr14,49,6879
Apr15,50,7216
Apr16,51,7707
Apr17,52,8067
Apr18,53,8418
Apr19,54,8746
Apr20,55,8936
Apr21,56,9242
Apr22,57,9710
Apr23,58,10096
Apr24,59,10417
Apr25,60,10635
Apr26,61,11036
Apr27,62,11339
Apr28,63,11616
Apr29,64,11978
Apr30,65,12240
May01,66,12567
May02,67,12732
May03,68,13163
May04,69,13512
May05,70,13837
May06,71,14107
May07,72,14499
May08,73,14811
May09,74,15131
May10,75,15362
May11,76,15588
May12,77,15778
May13,78,16002
May14,79,16247
May15,80,16437
May16,81,16704
May17,82,16871
May18,83,17036
May19,84,17191
May20,85,17387
May21,86,17585
May22,87,17712
May23,88,17857
May24,89,18070
May25,90,18283
May26,91,18429
May27,92,18594
May28,93,18791
May29,94,18982
May30,95,19133
May31,96,19257
Jun01,97,19398
Jun02,98,19517
Jun03,99,19669
Jun04,100,19907
Jun05,101,20103
Jun06,102,20290
Jun07,103,20479
Jun08,104,20604
Jun09,105,20749
Jun10,106,20945
Jun11,107,21182
Jun12,108,21404
Jun13,109,21679
Jun14,110,21999
Jun15,111,22165
Jun16,112,22415
Jun17,113,22760
Jun18,114,23080
Jun19,115,23400
Jun20,116,23730
Jun21,117,24045
Jun22,118,24291
Jun23,119,24505
Jun24,120,24826
Jun25,121,25286
Jun26,122,25697
Jun27,123,26022
Jun28,124,26313
Jun29,125,26582
Jun30,126,26970
Jul01,127,27296
Jul02,128,27746
Jul03,129,28166
Jul04,130,28582
