day,dayNo,case
Mar22,1,3
Mar23,2,7
Mar24,3,12
Mar25,4,17
Mar26,5,23
Mar27,6,26
Mar28,7,37
Mar29,8,43
Mar30,9,65
Mar31,10,82
Apr01,11,92
Apr02,12,115
Apr03,13,133
Apr04,14,146
Apr05,15,151
Apr06,16,176
Apr07,17,197
Apr08,18,220
Apr09,19,248
Apr10,20,270
Apr11,21,291
Apr12,22,316
Apr13,23,331
Apr14,24,351
Apr15,25,372
Apr16,26,392
Apr17,27,411
Apr18,28,421
Apr19,29,451
Apr20,30,478
Apr21,31,498
Apr22,32,524
Apr23,33,545
Apr24,34,567
Apr25,35,601
Apr26,36,619
Apr27,37,641
Apr28,38,663
Apr29,39,693
Apr30,40,717
May01,41,744
May02,42,771
May03,43,790
May04,44,818
May05,45,841
May06,46,864
May07,47,888
May08,48,923
May09,49,939
May10,50,961
May11,51,982
May12,52,1002
May13,53,1036
May14,54,1053
May15,55,1070
May16,56,1094
May17,57,1107
May18,58,1120
May19,59,1137
May20,60,1147
May21,61,1156
May22,62,1166
May23,63,1176
May24,64,1185
May25,65,1205
May26,66,1216
May27,67,1227
May28,68,1235
May29,69,1248
May30,70,1259
May31,71,1266
Jun01,72,1276
Jun02,73,1288
Jun03,74,1296
Jun04,75,1305
Jun05,76,1316
Jun06,77,1322
Jun07,78,1333
Jun08,79,1339
Jun09,80,1354
Jun10,81,1360
Jun11,82,1369
Jun12,83,1380
Jun13,84,1394
Jun14,85,1410
Jun15,86,1427
Jun16,87,1437
Jun17,88,1451
Jun18,89,1473
Jun19,90,1484
Jun20,91,1500
Jun21,92,1512
Jun22,93,1523
Jun23,94,1539
Jun24,95,1555
Jun25,96,1565
Jun26,97,1579
Jun27,98,1589
Jun28,99,1612
Jun29,100,1634
Jun30,101,1651
Jul01,102,1667
Jul02,103,1687
Jul03,104,1708
Jul04,105,1731
