day,dayNo,case
Feb15,1,2
Feb16,2,2
Feb17,3,2
Feb18,4,2
Feb19,5,2
Feb20,6,2
Feb21,7,2
Feb22,8,2
Feb23,9,2
Feb24,10,2
Feb25,11,2
Feb26,12,2
Feb27,13,2
Feb28,14,2
Feb29,15,2
Mar01,16,2
Mar02,17,3
Mar03,18,3
Mar04,19,3
Mar05,20,7
Mar06,21,13
Mar07,22,14
Mar08,23,17
Mar09,24,20
Mar10,25,20
Mar11,26,28
Mar12,27,34
Mar13,28,45
Mar14,29,59
Mar15,30,63
Mar16,31,93
Mar17,32,114
Mar18,33,147
Mar19,34,199
Mar20,35,253
Mar21,36,306
Mar22,37,367
Mar23,38,438
Mar24,39,495
Mar25,40,658
Mar26,41,840
Mar27,42,1036
Mar28,43,1264
Mar29,44,1534
Mar30,45,1836
Mar31,46,2337
Apr01,47,2777
Apr02,48,3548
Apr03,49,4149
Apr04,50,4731
Apr05,51,5389
Apr06,52,6343
Apr07,53,7497
Apr08,54,8672
Apr09,55,10131
Apr10,56,11917
Apr11,57,13584
Apr12,58,15770
Apr13,59,18328
Apr14,60,21102
Apr15,61,24490
Apr16,62,27938
Apr17,63,32008
Apr18,64,36793
Apr19,65,42853
Apr20,66,47121
Apr21,67,52763
Apr22,68,57999
Apr23,69,62773
Apr24,70,68622
Apr25,71,74588
Apr26,72,80949
Apr27,73,87147
Apr28,74,93558
Apr29,75,99399
Apr30,76,106498
May01,77,114431
May02,78,124054
May03,79,134687
May04,80,145268
May05,81,155370
May06,82,165929
May07,83,177160
May08,84,187859
May09,85,198676
May10,86,209688
May11,87,221344
May12,88,232243
May13,89,242271
May14,90,252245
May15,91,262843
May16,92,272043
May17,93,281752
May18,94,290678
May19,95,299941
May20,96,308705
May21,97,317554
May22,98,326448
May23,99,335882
May24,100,344481
May25,101,353427
May26,102,362342
May27,103,370680
May28,104,379051
May29,105,387623
May30,106,396575
May31,107,405843
Jun01,108,414878
Jun02,109,423741
Jun03,110,432277
Jun04,111,441108
Jun05,112,449834
Jun06,113,458689
Jun07,114,467673
Jun08,115,476658
Jun09,116,485253
Jun10,117,493657
Jun11,118,502436
Jun12,119,511423
Jun13,120,520129
Jun14,121,528964
Jun15,122,537210
Jun16,123,545458
Jun17,124,553301
Jun18,125,561091
Jun19,126,569063
Jun20,127,576952
Jun21,128,584680
Jun22,129,592280
Jun23,130,599705
Jun24,131,606881
Jun25,132,613994
Jun26,133,620794
Jun27,134,627646
Jun28,135,634437
Jun29,136,641156
Jun30,137,647849
Jul01,138,654405
Jul02,139,661165
Jul03,140,667883
Jul04,141,674515
