day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,1
Mar22,4,1
Mar23,5,1
Mar24,6,1
Mar25,7,3
Mar26,8,3
Mar27,9,4
Mar28,10,4
Mar29,11,8
Mar30,12,9
Mar31,13,17
Apr01,14,24
Apr02,15,30
Apr03,16,34
Apr04,17,43
Apr05,18,45
Apr06,19,47
Apr07,20,58
Apr08,21,63
Apr09,22,76
Apr10,23,94
Apr11,24,106
Apr12,25,130
Apr13,26,148
Apr14,27,170
Apr15,28,198
Apr16,29,232
Apr17,30,273
Apr18,31,313
Apr19,32,361
Apr20,33,405
Apr21,34,456
Apr22,35,513
Apr23,36,555
Apr24,37,615
Apr25,38,681
Apr26,39,747
Apr27,40,794
Apr28,41,867
Apr29,42,972
Apr30,43,1073
May01,44,1169
May02,45,1222
May03,46,1280
May04,47,1356
May05,48,1451
May06,49,1537
May07,50,1625
May08,51,1723
May09,52,1827
May10,53,1915
May11,54,2009
May12,55,2116
May13,56,2212
May14,57,2305
May15,58,2418
May16,59,2537
May17,60,2631
May18,61,2722
May19,62,2837
May20,63,2972
May21,64,3099
May22,65,3249
May23,66,3388
May24,67,3541
May25,68,3633
May26,69,3807
May27,70,3968
May28,71,4142
May29,72,4374
May30,73,4555
May31,74,4693
Jun01,75,4855
Jun02,76,5037
Jun03,77,5215
Jun04,78,5384
Jun05,79,5528
Jun06,80,5725
Jun07,81,5859
Jun08,82,5971
Jun09,83,6142
Jun10,84,6358
Jun11,85,6532
Jun12,86,6715
Jun13,87,6829
Jun14,88,6948
Jun15,89,7091
Jun16,90,7284
Jun17,91,7478
Jun18,92,7660
Jun19,93,7841
Jun20,94,8002
Jun21,95,8111
Jun22,96,8206
Jun23,97,8359
Jun24,98,8513
Jun25,99,8605
Jun26,100,8781
Jun27,101,8969
Jun28,102,9073
Jun29,103,9166
Jun30,104,9320
Jul01,105,9536
Jul02,106,9683
Jul03,107,9859
Jul04,108,10027
