day,dayNo,case
Mar14,1,1
Mar15,2,5
Mar16,3,7
Mar17,4,7
Mar18,5,11
Mar19,6,11
Mar20,7,17
Mar21,8,17
Mar22,9,19
Mar23,10,36
Mar24,11,40
Mar25,12,41
Mar26,13,50
Mar27,14,54
Mar28,15,60
Mar29,16,70
Mar30,17,70
Mar31,18,75
Apr01,19,82
Apr02,20,84
Apr03,21,89
Apr04,22,102
Apr05,23,104
Apr06,24,105
Apr07,25,105
Apr08,26,110
Apr09,27,113
Apr10,28,118
Apr11,29,120
Apr12,30,126
Apr13,31,127
Apr14,32,134
Apr15,33,136
Apr16,34,138
Apr17,35,143
Apr18,36,144
Apr19,37,147
Apr20,38,147
Apr21,39,150
Apr22,40,153
Apr23,41,154
Apr24,42,176
Apr25,43,183
Apr26,44,191
Apr27,45,207
Apr28,46,212
Apr29,47,225
Apr30,48,243
May01,49,249
May02,50,255
May03,51,259
May04,52,261
May05,53,261
May06,54,268
May07,55,271
May08,56,273
May09,57,280
May10,58,284
May11,59,285
May12,60,286
May13,61,287
May14,62,287
May15,63,287
May16,64,289
May17,65,292
May18,66,297
May19,67,308
May20,68,314
May21,69,320
May22,70,321
May23,71,325
May24,72,327
May25,73,336
May26,74,339
May27,75,346
May28,76,349
May29,77,355
May30,78,359
May31,79,370
Jun01,80,377
Jun02,81,384
Jun03,82,397
Jun04,83,410
Jun05,84,420
Jun06,85,431
Jun07,86,439
Jun08,87,451
Jun09,88,463
Jun10,89,476
Jun11,90,494
Jun12,91,510
Jun13,92,541
Jun14,93,582
Jun15,94,612
Jun16,95,636
Jun17,96,639
Jun18,97,646
Jun19,98,661
Jun20,99,702
Jun21,100,728
Jun22,101,787
Jun23,102,798
Jun24,103,830
Jun25,104,850
Jun26,105,858
Jun27,106,878
Jun28,107,900
Jun29,108,1001
Jun30,109,1025
Jul01,110,1042
Jul02,111,1063
Jul03,112,1081
Jul04,113,1092
