day,dayNo,case
Feb15,1,28
Feb16,2,29
Feb17,3,30
Feb18,4,31
Feb19,5,58
Feb20,6,111
Feb21,7,209
Feb22,8,436
Feb23,9,602
Feb24,10,833
Feb25,11,977
Feb26,12,1261
Feb27,13,1766
Feb28,14,2337
Feb29,15,3150
Mar01,16,3736
Mar02,17,4335
Mar03,18,5186
Mar04,19,5621
Mar05,20,6284
Mar06,21,6593
Mar07,22,7041
Mar08,23,7313
Mar09,24,7478
Mar10,25,7513
Mar11,26,7755
Mar12,27,7869
Mar13,28,7979
Mar14,29,8086
Mar15,30,8162
Mar16,31,8236
Mar17,32,8320
Mar18,33,8413
Mar19,34,8565
Mar20,35,8652
Mar21,36,8799
Mar22,37,8897
Mar23,38,8961
Mar24,39,9037
Mar25,40,9137
Mar26,41,9241
Mar27,42,9332
Mar28,43,9478
Mar29,44,9583
Mar30,45,9661
Mar31,46,9786
Apr01,47,9887
Apr02,48,9976
Apr03,49,10062
Apr04,50,10156
Apr05,51,10237
Apr06,52,10284
Apr07,53,10331
Apr08,54,10384
Apr09,55,10423
Apr10,56,10450
Apr11,57,10480
Apr12,58,10512
Apr13,59,10537
Apr14,60,10564
Apr15,61,10591
Apr16,62,10613
Apr17,63,10635
Apr18,64,10653
Apr19,65,10661
Apr20,66,10674
Apr21,67,10683
Apr22,68,10694
Apr23,69,10702
Apr24,70,10708
Apr25,71,10718
Apr26,72,10728
Apr27,73,10738
Apr28,74,10752
Apr29,75,10761
Apr30,76,10765
May01,77,10774
May02,78,10780
May03,79,10793
May04,80,10801
May05,81,10804
May06,82,10806
May07,83,10810
May08,84,10822
May09,85,10840
May10,86,10874
May11,87,10909
May12,88,10936
May13,89,10962
May14,90,10991
May15,91,11018
May16,92,11037
May17,93,11050
May18,94,11065
May19,95,11078
May20,96,11110
May21,97,11122
May22,98,11142
May23,99,11165
May24,100,11190
May25,101,11206
May26,102,11225
May27,103,11265
May28,104,11344
May29,105,11402
May30,106,11441
May31,107,11468
Jun01,108,11503
Jun02,109,11541
Jun03,110,11590
Jun04,111,11629
Jun05,112,11668
Jun06,113,11719
Jun07,114,11776
Jun08,115,11814
Jun09,116,11852
Jun10,117,11902
Jun11,118,11947
Jun12,119,12003
Jun13,120,12051
Jun14,121,12085
Jun15,122,12121
Jun16,123,12155
Jun17,124,12198
Jun18,125,12257
Jun19,126,12306
Jun20,127,12373
Jun21,128,12421
Jun22,129,12438
Jun23,130,12484
Jun24,131,12535
Jun25,132,12563
Jun26,133,12602
Jun27,134,12653
Jun28,135,12715
Jun29,136,12757
Jun30,137,12800
Jul01,138,12850
Jul02,139,12904
Jul03,140,12967
Jul04,141,13030
