day,dayNo,case
Feb20,1,1
Feb21,2,2
Feb22,3,2
Feb23,4,6
Feb24,5,8
Feb25,6,11
Feb26,7,12
Feb27,8,13
Feb28,9,16
Feb29,10,17
Mar01,11,21
Mar02,12,28
Mar03,13,32
Mar04,14,35
Mar05,15,42
Mar06,16,43
Mar07,17,48
Mar08,18,50
Mar09,19,53
Mar10,20,60
Mar11,21,60
Mar12,22,66
Mar13,23,67
Mar14,24,72
Mar15,25,75
Mar16,26,75
Mar17,27,81
Mar18,28,84
Mar19,29,91
Mar20,30,94
Mar21,31,102
Mar22,32,104
Mar23,33,111
Mar24,34,120
Mar25,35,126
Mar26,36,131
Mar27,37,139
Mar28,38,144
Mar29,39,152
Mar30,40,158
Mar31,41,162
Apr01,42,165
Apr02,43,169
Apr03,44,174
Apr04,45,177
Apr05,46,183
Apr06,47,186
Apr07,48,192
Apr08,49,200
Apr09,50,204
Apr10,51,208
Apr11,52,211
Apr12,53,214
Apr13,54,217
Apr14,55,222
Apr15,56,225
Apr16,57,229
Apr17,58,230
Apr18,59,232
Apr19,60,234
Apr20,61,236
Apr21,62,237
Apr22,63,238
