day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,2
Mar05,4,5
Mar06,5,5
Mar07,6,7
Mar08,7,11
Mar09,8,20
Mar10,9,20
Mar11,10,45
Mar12,11,45
Mar13,12,86
Mar14,13,103
Mar15,14,118
Mar16,15,133
Mar17,16,171
Mar18,17,238
Mar19,18,274
Mar20,19,344
Mar21,20,392
Mar22,21,511
Mar23,22,562
Mar24,23,767
Mar25,24,900
Mar26,25,1012
Mar27,26,1104
Mar28,27,1203
Mar29,28,1299
Mar30,29,1453
Mar31,30,1563
Apr01,31,1720
Apr02,32,1885
Apr03,33,2039
Apr04,34,2179
Apr05,35,2402
Apr06,36,2605
Apr07,37,2795
Apr08,38,2932
Apr09,39,3287
Apr10,40,3651
Apr11,41,4033
Apr12,42,4462
Apr13,43,4934
Apr14,44,5369
Apr15,45,5862
Apr16,46,6380
Apr17,47,7142
Apr18,48,8274
Apr19,49,9362
Apr20,50,10484
Apr21,51,11631
Apr22,52,12772
Apr23,53,13930
Apr24,54,15102
Apr25,55,16299
Apr26,56,17522
Apr27,57,18811
Apr28,58,20077
Apr29,59,21402
Apr30,60,22753
May01,61,24097
May02,62,25459
May03,63,27011
May04,64,28656
May05,65,30251
May06,66,31938
May07,67,33731
May08,68,35432
May09,69,37136
May10,70,39048
May11,71,41014
May12,72,42925
May13,73,44830
May14,74,46869
May15,75,49176
May16,76,52016
May17,77,54752
May18,78,57345
May19,79,59854
May20,80,62545
May21,81,65077
May22,82,67719
May23,83,70161
May24,84,72560
May25,85,74795
May26,86,76726
May27,87,78541
May28,88,80185
May29,89,81766
May30,90,83384
May31,91,85261
Jun01,92,87142
Jun02,93,89011
Jun03,94,91182
Jun04,95,93157
Jun05,96,95748
Jun06,97,98869
Jun07,98,101914
Jun08,99,105283
Jun09,100,108571
Jun10,101,112288
Jun11,102,116021
Jun12,103,119942
Jun13,104,123308
Jun14,105,127541
Jun15,106,132048
Jun16,107,136315
Jun17,108,141234
Jun18,109,145991
Jun19,110,150292
Jun20,111,154233
Jun21,112,157612
Jun22,113,161005
Jun23,114,164144
Jun24,115,167267
Jun25,116,170639
Jun26,117,174577
Jun27,118,178504
Jun28,119,182493
Jun29,120,186436
Jun30,121,190823
Jul01,122,194225
Jul02,123,197608
Jul03,124,201801
Jul04,125,205929
