day,dayNo,case
Mar24,1,1
Mar25,2,2
Mar26,3,3
Mar27,4,3
Mar28,5,4
Mar29,6,8
Mar30,7,8
Mar31,8,10
Apr01,9,16
Apr02,10,21
Apr03,11,25
Apr04,12,29
Apr05,13,34
Apr06,14,38
Apr07,15,41
Apr08,16,41
Apr09,17,44
Apr10,18,47
Apr11,19,52
Apr12,20,59
Apr13,21,65
Apr14,22,73
Apr15,23,79
Apr16,24,83
Apr17,25,87
Apr18,26,92
Apr19,27,97
Apr20,28,103
Apr21,29,109
Apr22,30,114
Apr23,31,121
Apr24,32,127
Apr25,33,136
Apr26,34,139
Apr27,35,144
Apr28,36,152
Apr29,37,157
Apr30,38,162
May01,39,169
May02,40,176
May03,41,184
May04,42,191
May05,43,200
May06,44,209
May07,45,219
May08,46,229
May09,47,239
May10,48,246
May11,49,255
May12,50,264
May13,51,273
May14,52,283
May15,53,292
May16,54,302
May17,55,312
May18,56,320
May19,57,329
May20,58,339
May21,59,351
May22,60,364
May23,61,379
May24,62,390
May25,63,399
May26,64,411
May27,65,425
May28,66,441
May29,67,458
May30,68,480
May31,69,503
Jun01,70,525
Jun02,71,549
Jun03,72,579
Jun04,73,611
Jun05,74,642
Jun06,75,676
Jun07,76,712
Jun08,77,746
Jun09,78,783
Jun10,79,819
Jun11,80,857
Jun12,81,893
Jun13,82,932
Jun14,83,972
Jun15,84,1011
Jun16,85,1052
Jun17,86,1091
Jun18,87,1139
Jun19,88,1184
Jun20,89,1230
Jun21,90,1267
Jun22,91,1307
Jun23,92,1346
Jun24,93,1387
Jun25,94,1428
Jun26,95,1474
Jun27,96,1511
Jun28,97,1551
Jun29,98,1599
Jun30,99,1649
Jul01,100,1698
Jul02,101,1752
Jul03,102,1802
Jul04,103,1858
