day,dayNo,case
Mar02,1,1
Mar03,2,2
Mar04,3,4
Mar05,4,4
Mar06,5,4
Mar07,6,4
Mar08,7,4
Mar09,8,4
Mar10,9,4
Mar11,10,4
Mar12,11,10
Mar13,12,21
Mar14,13,24
Mar15,14,24
Mar16,15,27
Mar17,16,27
Mar18,17,36
Mar19,18,36
Mar20,19,47
Mar21,20,56
Mar22,21,67
Mar23,22,79
Mar24,23,86
Mar25,24,99
Mar26,25,105
Mar27,26,119
Mar28,27,130
Mar29,28,142
Mar30,29,162
Mar31,30,175
Apr01,31,190
Apr02,32,195
Apr03,33,207
Apr04,34,219
Apr05,35,222
Apr06,36,226
Apr07,37,237
Apr08,38,244
Apr09,39,250
Apr10,40,265
Apr11,41,278
Apr12,42,280
Apr13,43,291
Apr14,44,299
Apr15,45,314
Apr16,46,335
Apr17,47,342
Apr18,48,350
Apr19,49,367
Apr20,50,377
Apr21,51,412
Apr22,52,442
Apr23,53,479
Apr24,54,545
Apr25,55,614
Apr26,56,671
Apr27,57,736
Apr28,58,823
Apr29,59,882
Apr30,60,933
May01,61,1024
