day,dayNo,case
Apr01,1,1
Apr02,2,1
Apr03,3,1
Apr04,4,2
Apr05,5,2
Apr06,6,2
Apr07,7,2
Apr08,8,2
Apr09,9,2
Apr10,10,2
Apr11,11,2
Apr12,12,2
Apr13,13,2
Apr14,14,2
Apr15,15,2
Apr16,16,2
Apr17,17,2
Apr18,18,3
Apr19,19,3
Apr20,20,5
Apr21,21,5
Apr22,22,6
Apr23,23,6
Apr24,24,7
Apr25,25,7
Apr26,26,9
Apr27,27,9
Apr28,28,9
Apr29,29,9
Apr30,30,9
May01,31,9
May02,32,9
May03,33,9
May04,34,10
May05,35,11
May06,36,12
May07,37,13
May08,38,13
May09,39,17
May10,40,19
May11,41,19
May12,42,19
May13,43,21
May14,44,23
May15,45,25
May16,46,25
May17,47,25
May18,48,26
May19,49,30
May20,50,30
May21,51,33
May22,52,33
May23,53,34
May24,54,35
May25,55,35
May26,56,36
May27,57,38
May28,58,39
May29,59,41
May30,60,42
May31,61,42
Jun01,62,42
Jun02,63,43
Jun03,64,45
Jun04,65,45
Jun05,66,45
Jun06,67,47
Jun07,68,49
Jun08,69,49
Jun09,70,52
Jun10,71,52
Jun11,72,55
Jun12,73,56
Jun13,74,60
Jun14,75,60
Jun15,76,64
Jun16,77,70
Jun17,78,73
Jun18,79,76
Jun19,80,79
Jun20,81,82
Jun21,82,84
Jun22,83,86
Jun23,84,89
Jun24,85,93
Jun25,86,94
Jun26,87,98
Jun27,88,102
Jun28,89,105
Jun29,90,108
Jun30,91,112
Jul01,92,116
Jul02,93,121
Jul03,94,125
Jul04,95,129
