day,dayNo,case
Mar06,1,1
Mar07,2,1
Mar08,3,1
Mar09,4,2
Mar10,5,5
Mar11,6,18
Mar12,7,24
Mar13,8,35
Mar14,9,46
Mar15,10,48
Mar16,11,57
Mar17,12,72
Mar18,13,89
Mar19,14,103
Mar20,15,135
Mar21,16,171
Mar22,17,222
Mar23,18,249
Mar24,19,303
Mar25,20,384
Mar26,21,457
Mar27,22,528
Mar28,23,659
Mar29,24,741
Mar30,25,785
Mar31,26,900
Apr01,27,1060
Apr02,28,1171
Apr03,29,1476
Apr04,30,1624
Apr05,31,1908
Apr06,32,2200
Apr07,33,2447
Apr08,34,2666
Apr09,35,2867
Apr10,36,3105
Apr11,37,3380
Apr12,38,3630
Apr13,39,4054
Apr14,40,4465
Apr15,41,4873
Apr16,42,5318
Apr17,43,5690
Apr18,44,5994
Apr19,45,6318
Apr20,46,6630
Apr21,47,6890
Apr22,48,7114
Apr23,49,7276
Apr24,50,7483
Apr25,51,7779
Apr26,52,8042
Apr27,53,8275
Apr28,54,8497
Apr29,55,8724
Apr30,56,9009
May01,57,9205
May02,58,9362
May03,59,9464
May04,60,9557
May05,61,9677
May06,62,9791
May07,63,9848
May08,64,9943
May09,65,10032
May10,66,10114
May11,67,10176
May12,68,10243
May13,69,10295
May14,70,10374
May15,71,10438
May16,72,10496
May17,73,10610
May18,74,10699
May19,75,10733
May20,76,10833
May21,77,10919
May22,78,11024
May23,79,11092
May24,80,11159
May25,81,11193
May26,82,11227
May27,83,11275
May28,84,11300
May29,85,11354
May30,86,11381
May31,87,11412
Jun01,88,11430
Jun02,89,11454
Jun03,90,11523
Jun04,91,11571
Jun05,92,11667
Jun06,93,11741
Jun07,94,11823
Jun08,95,11896
Jun09,96,11965
Jun10,97,12031
Jun11,98,12102
Jun12,99,12175
Jun13,100,12251
Jun14,101,12310
Jun15,102,12367
Jun16,103,12426
Jun17,104,12522
Jun18,105,12616
Jun19,106,12709
Jun20,107,12803
Jun21,108,12894
Jun22,109,12990
Jun23,110,13092
Jun24,111,13235
Jun25,112,13372
Jun26,113,13565
Jun27,114,13792
Jun28,115,14046
Jun29,116,14288
Jun30,117,14564
Jul01,118,14836
Jul02,119,15195
Jul03,120,15504
Jul04,121,15829
