day,dayNo,case
Mar20,1,1
Mar21,2,1
Mar22,3,2
Mar23,4,3
Mar24,5,3
Mar25,6,4
Mar26,7,7
Mar27,8,8
Mar28,9,10
Mar29,10,13
Mar30,11,16
Mar31,12,23
Apr01,13,28
Apr02,14,31
Apr03,15,39
Apr04,16,44
Apr05,17,51
Apr06,18,58
Apr07,19,61
Apr08,20,65
Apr09,21,66
Apr10,22,71
Apr11,23,74
Apr12,24,80
Apr13,25,85
Apr14,26,94
Apr15,27,99
Apr16,28,103
Apr17,29,110
Apr18,30,117
Apr19,31,122
Apr20,32,125
Apr21,33,130
Apr22,34,134
Apr23,35,139
Apr24,36,144
Apr25,37,151
Apr26,38,156
Apr27,39,162
Apr28,40,168
Apr29,41,173
Apr30,42,179
May01,43,185
May02,44,189
May03,45,193
May04,46,197
May05,47,200
May06,48,203
May07,49,206
May08,50,209
May09,51,213
May10,52,215
May11,53,218
May12,54,220
May13,55,222
May14,56,224
May15,57,225
May16,58,228
May17,59,230
May18,60,231
May19,61,234
May20,62,235
May21,63,237
May22,64,237
May23,65,238
May24,66,238
May25,67,239
May26,68,239
May27,69,240
May28,70,241
May29,71,242
May30,72,242
May31,73,243
Jun01,74,244
Jun02,75,245
Jun03,76,245
Jun04,77,246
Jun05,78,247
Jun06,79,248
Jun07,80,249
Jun08,81,250
Jun09,82,250
Jun10,83,251
Jun11,84,252
Jun12,85,252
Jun13,86,253
Jun14,87,254
Jun15,88,255
Jun16,89,256
Jun17,90,257
Jun18,91,258
Jun19,92,259
Jun20,93,260
Jun21,94,261
Jun22,95,262
Jun23,96,263
Jun24,97,263
Jun25,98,264
Jun26,99,265
Jun27,100,267
Jun28,101,270
Jun29,102,274
Jun30,103,277
Jul01,104,281
Jul02,105,287
Jul03,106,298
Jul04,107,306
