day,dayNo,case
Mar31,1,1
Apr01,2,2
Apr02,3,2
Apr03,4,2
Apr04,5,4
Apr05,6,6
Apr06,7,6
Apr07,8,6
Apr08,9,7
Apr09,10,7
Apr10,11,8
Apr11,12,10
Apr12,13,10
Apr13,14,10
Apr14,15,11
Apr15,16,13
Apr16,17,15
Apr17,18,26
Apr18,19,30
Apr19,20,35
Apr20,21,43
Apr21,22,50
Apr22,23,61
Apr23,24,64
Apr24,25,82
Apr25,26,82
Apr26,27,93
Apr27,28,99
Apr28,29,104
Apr29,30,104
Apr30,31,124
May01,32,136
May02,33,155
May03,34,166
May04,35,178
May05,36,199
May06,37,225
May07,38,231
May08,39,257
May09,40,291
May10,41,307
May11,42,338
May12,43,338
May13,44,387
May14,45,408
May15,46,447
May16,47,462
May17,48,505
May18,49,519
May19,50,534
May20,51,570
May21,52,585
May22,53,606
May23,54,621
May24,55,707
May25,56,735
May26,57,754
May27,58,782
May28,59,812
May29,60,829
May30,61,852
May31,62,861
Jun01,63,865
Jun02,64,896
Jun03,65,909
Jun04,66,914
Jun05,67,929
Jun06,68,946
Jun07,69,969
Jun08,70,1001
Jun09,71,1025
Jun10,72,1062
Jun11,73,1085
Jun12,74,1103
Jun13,75,1132
Jun14,76,1169
Jun15,77,1176
Jun16,78,1225
Jun17,79,1249
Jun18,80,1272
Jun19,81,1298
Jun20,82,1309
Jun21,83,1327
Jun22,84,1340
Jun23,85,1347
Jun24,86,1354
Jun25,87,1354
Jun26,88,1394
Jun27,89,1410
Jun28,90,1427
Jun29,91,1450
Jun30,92,1462
Jul01,93,1498
Jul02,94,1518
Jul03,95,1524
Jul04,96,1533
