day,dayNo,case
Apr23,1,1
Apr24,2,2
Apr25,3,2
Apr26,4,4
Apr27,5,4
Apr28,6,4
Apr29,7,4
Apr30,8,7
May01,9,7
May02,10,8
May03,11,8
May04,12,9
May05,13,11
May06,14,14
May07,15,16
May08,16,17
May09,17,18
May10,18,18
May11,19,19
May12,20,19
May13,21,26
May14,22,26
May15,23,27
May16,24,29
May17,25,32
May18,26,33
May19,27,33
May20,28,34
May21,29,35
May22,30,38
May23,31,39
May24,32,40
May25,33,42
May26,34,44
May27,35,45
May28,36,45
May29,37,45
May30,38,46
May31,39,46
Jun01,40,46
Jun02,41,46
Jun03,42,47
Jun04,43,47
Jun05,44,47
Jun06,45,48
Jun07,46,48
Jun08,47,49
Jun09,48,50
Jun10,49,50
Jun11,50,50
Jun12,51,51
Jun13,52,51
Jun14,53,51
Jun15,54,51
Jun16,55,51
Jun17,56,51
Jun18,57,51
Jun19,58,53
Jun20,59,53
Jun21,60,55
Jun22,61,55
Jun23,62,55
Jun24,63,56
Jun25,64,56
Jun26,65,59
Jun27,66,59
Jun28,67,60
Jun29,68,60
Jun30,69,60
Jul01,70,60
Jul02,71,60
Jul03,72,62
Jul04,73,62
