day,dayNo,case
Feb15,1,72
Feb16,2,75
Feb17,3,77
Feb18,4,81
Feb19,5,84
Feb20,6,85
Feb21,7,86
Feb22,8,89
Feb23,9,89
Feb24,10,90
Feb25,11,91
Feb26,12,93
Feb27,13,96
Feb28,14,98
Feb29,15,102
Mar01,16,106
Mar02,17,108
Mar03,18,110
Mar04,19,112
Mar05,20,117
Mar06,21,130
Mar07,22,138
Mar08,23,150
Mar09,24,160
Mar10,25,166
Mar11,26,178
Mar12,27,187
Mar13,28,200
Mar14,29,212
Mar15,30,226
Mar16,31,243
Mar17,32,266
Mar18,33,313
Mar19,34,345
Mar20,35,385
Mar21,36,432
Mar22,37,455
Mar23,38,509
Mar24,39,558
Mar25,40,631
Mar26,41,683
Mar27,42,732
Mar28,43,802
Mar29,44,844
Mar30,45,879
Mar31,46,926
Apr01,47,1000
Apr02,48,1049
Apr03,49,1114
Apr04,50,1189
Apr05,51,1309
Apr06,52,1375
Apr07,53,1481
Apr08,54,1623
Apr09,55,1910
Apr10,56,2108
Apr11,57,2299
Apr12,58,2532
Apr13,59,2918
Apr14,60,3252
Apr15,61,3699
Apr16,62,4427
Apr17,63,5050
Apr18,64,5992
Apr19,65,6588
Apr20,66,8014
Apr21,67,9125
Apr22,68,10141
Apr23,69,11178
Apr24,70,12075
Apr25,71,12693
Apr26,72,13624
Apr27,73,14423
Apr28,74,14951
Apr29,75,15641
Apr30,76,16169
May01,77,17101
