day,dayNo,case
Mar21,1,2
Mar22,2,2
Mar23,3,2
Mar24,4,2
Mar25,5,2
Mar26,6,2
Mar27,7,2
Mar28,8,2
Mar29,9,3
Mar30,10,3
Mar31,11,3
Apr01,12,3
Apr02,13,4
Apr03,14,5
Apr04,15,6
Apr05,16,6
Apr06,17,6
Apr07,18,6
Apr08,19,6
Apr09,20,6
Apr10,21,7
Apr11,22,8
Apr12,23,8
Apr13,24,9
Apr14,25,10
Apr15,26,10
Apr16,27,10
Apr17,28,11
Apr18,29,11
Apr19,30,11
Apr20,31,11
Apr21,32,11
Apr22,33,12
Apr23,34,12
Apr24,35,12
Apr25,36,12
Apr26,37,12
Apr27,38,14
Apr28,39,14
Apr29,40,14
Apr30,41,15
May01,42,16
May02,43,17
May03,44,18
May04,45,18
May05,46,18
May06,47,20
May07,48,20
May08,49,20
May09,50,20
May10,51,20
May11,52,21
May12,53,21
May13,54,21
May14,55,21
May15,56,21
May16,57,22
May17,58,22
May18,59,22
May19,60,22
May20,61,22
May21,62,23
May22,63,23
May23,64,23
May24,65,23
May25,66,23
May26,67,23
May27,68,23
May28,69,23
May29,70,23
May30,71,23
May31,72,23
Jun01,73,24
Jun02,74,24
Jun03,75,24
Jun04,76,24
Jun05,77,24
Jun06,78,25
Jun07,79,25
Jun08,80,25
Jun09,81,25
Jun10,82,25
Jun11,83,25
Jun12,84,25
Jun13,85,26
Jun14,86,26
Jun15,87,26
Jun16,88,26
Jun17,89,26
Jun18,90,26
Jun19,91,26
Jun20,92,26
Jun21,93,26
Jun22,94,26
Jun23,95,26
Jun24,96,26
Jun25,97,26
Jun26,98,26
Jun27,99,26
Jun28,100,26
Jun29,101,26
Jun30,102,26
Jul01,103,26
Jul02,104,26
Jul03,105,26
Jul04,106,26
