day,dayNo,case
Mar06,1,1
Mar07,2,3
Mar08,3,5
Mar09,4,7
Mar10,5,7
Mar11,6,10
Mar12,7,21
Mar13,8,32
Mar14,9,44
Mar15,10,61
Mar16,11,72
Mar17,12,97
Mar18,13,105
Mar19,14,124
Mar20,15,137
Mar21,16,178
Mar22,17,185
Mar23,18,186
Mar24,19,204
Mar25,20,216
Mar26,21,226
Mar27,22,269
Mar28,23,292
Mar29,24,314
Mar30,25,336
Mar31,26,363
Apr01,27,400
Apr02,28,426
Apr03,29,450
Apr04,30,471
Apr05,31,485
Apr06,32,534
Apr07,33,581
Apr08,34,682
Apr09,35,701
Apr10,36,715
Apr11,37,728
Apr12,38,742
Apr13,39,769
Apr14,40,835
Apr15,41,863
Apr16,42,977
Apr17,43,1049
Apr18,44,1089
Apr19,45,1161
Apr20,46,1173
Apr21,47,1199
Apr22,48,1244
Apr23,49,1325
Apr24,50,1360
Apr25,51,1373
Apr26,52,1379
Apr27,53,1381
Apr28,54,1384
Apr29,55,1391
Apr30,56,1396
May01,57,1403
May02,58,1407
May03,59,1408
May04,60,1413
May05,61,1421
May06,62,1429
May07,63,1445
May08,64,1455
May09,65,1455
May10,66,1457
May11,67,1457
May12,68,1465
May13,69,1469
May14,70,1477
May15,71,1480
May16,72,1493
May17,73,1494
May18,74,1495
May19,75,1495
May20,76,1496
May21,77,1502
May22,78,1503
May23,79,1504
May24,80,1509
May25,81,1511
May26,82,1513
May27,83,1515
May28,84,1520
May29,85,1520
May30,86,1521
May31,87,1521
Jun01,88,1522
Jun02,89,1522
Jun03,90,1525
Jun04,91,1526
Jun05,92,1526
Jun06,93,1528
Jun07,94,1528
Jun08,95,1530
Jun09,96,1531
Jun10,97,1533
Jun11,98,1541
Jun12,99,1542
Jun13,100,1545
Jun14,101,1548
Jun15,102,1552
Jun16,103,1552
Jun17,104,1561
Jun18,105,1562
Jun19,106,1576
Jun20,107,1586
Jun21,108,1587
Jun22,109,1588
Jun23,110,1589
Jun24,111,1607
Jun25,112,1630
Jun26,113,1643
Jun27,114,1657
Jun28,115,1664
Jun29,116,1665
Jun30,117,1667
Jul01,118,1687
Jul02,119,1700
Jul03,120,1720
Jul04,121,1749
