day,dayNo,case
Apr01,1,1
Apr02,2,1
Apr03,3,1
Apr04,4,1
Apr05,5,1
Apr06,6,2
Apr07,7,2
Apr08,8,2
Apr09,9,2
Apr10,10,2
Apr11,11,2
Apr12,12,2
Apr13,13,2
Apr14,14,2
Apr15,15,6
Apr16,16,8
Apr17,17,9
Apr18,18,11
Apr19,19,12
Apr20,20,13
Apr21,21,14
Apr22,22,14
Apr23,23,15
Apr24,24,17
Apr25,25,17
Apr26,26,18
Apr27,27,18
Apr28,28,20
Apr29,29,22
Apr30,30,23
May01,31,23
May02,32,24
May03,33,24
May04,34,25
May05,35,25
May06,36,25
May07,37,26
May08,38,26
May09,39,26
May10,40,26
May11,41,26
May12,42,27
May13,43,27
May14,44,27
May15,45,27
May16,46,28
May17,47,28
May18,48,28
May19,49,28
May20,50,28
May21,51,28
May22,52,28
May23,53,28
May24,54,28
May25,55,28
May26,56,28
May27,57,28
May28,58,28
May29,59,28
May30,60,28
May31,61,28
Jun01,62,28
Jun02,63,28
Jun03,64,28
Jun04,65,28
Jun05,66,28
Jun06,67,28
Jun07,68,28
Jun08,69,28
Jun09,70,28
Jun10,71,28
Jun11,72,28
Jun12,73,28
Jun13,74,28
Jun14,75,28
Jun15,76,28
Jun16,77,28
Jun17,78,28
Jun18,79,28
Jun19,80,28
Jun20,81,28
Jun21,82,28
Jun22,83,28
Jun23,84,28
Jun24,85,28
Jun25,86,28
Jun26,87,28
Jun27,88,28
Jun28,89,28
Jun29,90,28
Jun30,91,28
Jul01,92,28
Jul02,93,28
Jul03,94,28
Jul04,95,28
