day,dayNo,case
Mar04,1,1
Mar05,2,6
Mar06,3,8
Mar07,4,12
Mar08,5,16
Mar09,6,25
Mar10,7,34
Mar11,8,57
Mar12,9,96
Mar13,10,141
Mar14,11,181
Mar15,12,219
Mar16,13,253
Mar17,14,275
Mar18,15,286
Mar19,16,319
Mar20,17,341
Mar21,18,383
Mar22,19,414
Mar23,20,442
Mar24,21,480
Mar25,22,528
Mar26,23,562
Mar27,24,632
Mar28,25,684
Mar29,26,730
Mar30,27,756
Mar31,28,802
Apr01,29,841
Apr02,30,897
Apr03,31,934
Apr04,32,977
Apr05,33,997
Apr06,34,1021
Apr07,35,1059
Apr08,36,1091
Apr09,37,1124
Apr10,38,1160
Apr11,39,1188
Apr12,40,1205
Apr13,41,1212
Apr14,42,1220
Apr15,43,1248
Apr16,44,1268
Apr17,45,1304
Apr18,46,1317
Apr19,47,1330
Apr20,48,1335
Apr21,49,1344
Apr22,50,1353
Apr23,51,1366
Apr24,52,1373
Apr25,53,1388
Apr26,54,1396
Apr27,55,1402
Apr28,56,1408
Apr29,57,1418
Apr30,58,1429
May01,59,1434
May02,60,1439
May03,61,1439
May04,62,1439
May05,63,1445
May06,64,1448
May07,65,1449
May08,66,1450
May09,67,1454
May10,68,1457
May11,69,1460
May12,70,1461
May13,71,1463
May14,72,1464
May15,73,1465
May16,74,1465
May17,75,1466
May18,76,1466
May19,77,1467
May20,78,1468
May21,79,1468
May22,80,1468
May23,81,1468
May24,82,1468
May25,83,1469
May26,84,1469
May27,85,1471
May28,86,1473
May29,87,1473
May30,88,1473
May31,89,1473
Jun01,90,1473
Jun02,91,1475
Jun03,92,1477
Jun04,93,1477
Jun05,94,1479
Jun06,95,1484
Jun07,96,1485
Jun08,97,1485
Jun09,98,1486
Jun10,99,1488
Jun11,100,1488
Jun12,101,1490
Jun13,102,1492
Jun14,103,1495
Jun15,104,1496
Jun16,105,1499
Jun17,106,1503
Jun18,107,1511
Jun19,108,1513
Jun20,109,1519
Jun21,110,1520
Jun22,111,1521
Jun23,112,1534
Jun24,113,1541
Jun25,114,1547
Jun26,115,1558
Jun27,116,1572
Jun28,117,1581
Jun29,118,1585
Jun30,119,1600
Jul01,120,1613
Jul02,121,1634
Jul03,122,1650
Jul04,123,1679
