day,dayNo,case
Mar14,1,1
Mar15,2,1
Mar16,3,1
Mar17,4,1
Mar18,5,1
Mar19,6,1
Mar20,7,1
Mar21,8,1
Mar22,9,2
Mar23,10,3
Mar24,11,4
Mar25,12,5
Mar26,13,6
Mar27,14,9
Mar28,15,9
Mar29,16,11
Mar30,17,11
Mar31,18,15
Apr01,19,15
Apr02,20,17
Apr03,21,20
Apr04,22,22
Apr05,23,28
Apr06,24,30
Apr07,25,36
Apr08,26,40
Apr09,27,43
Apr10,28,45
Apr11,29,50
Apr12,30,53
Apr13,31,55
Apr14,32,56
Apr15,33,61
Apr16,34,61
Apr17,35,66
Apr18,36,70
Apr19,37,74
Apr20,38,77
Apr21,39,77
Apr22,40,79
Apr23,41,79
Apr24,42,80
Apr25,43,81
Apr26,44,82
Apr27,45,83
Apr28,46,86
Apr29,47,89
Apr30,48,91
May01,49,92
