day,dayNo,case
Mar16,1,1
Mar17,2,1
Mar18,3,1
Mar19,4,1
Mar20,5,1
Mar21,6,1
Mar22,7,1
Mar23,8,1
Mar24,9,1
Mar25,10,1
Mar26,11,2
Mar27,12,3
Mar28,13,3
Mar29,14,3
Mar30,15,3
Mar31,16,5
Apr01,17,5
Apr02,18,5
Apr03,19,7
Apr04,20,7
Apr05,21,7
Apr06,22,7
Apr07,23,8
Apr08,24,12
Apr09,25,12
Apr10,26,21
Apr11,27,21
Apr12,28,25
Apr13,29,60
Apr14,30,60
Apr15,31,80
Apr16,32,80
Apr17,33,116
Apr18,34,135
Apr19,35,164
Apr20,36,237
Apr21,37,286
Apr22,38,286
Apr23,39,328
Apr24,40,328
Apr25,41,390
Apr26,42,436
Apr27,43,480
Apr28,44,528
Apr29,45,582
Apr30,46,601
May01,47,601
May02,48,671
May03,49,722
May04,50,756
May05,51,835
May06,52,873
May07,53,928
May08,54,928
May09,55,997
May10,56,1054
May11,57,1089
May12,58,1170
May13,59,1219
May14,60,1284
May15,61,1284
May16,62,1357
May17,63,1421
May18,64,1455
May19,65,1502
May20,66,1573
May21,67,1594
May22,68,1594
May23,69,1594
May24,70,1594
May25,71,1689
May26,72,1711
May27,73,1731
May28,74,1828
May29,75,1828
May30,76,1916
May31,77,1976
Jun01,78,2023
Jun02,79,2089
Jun03,80,2146
Jun04,81,2204
Jun05,82,2204
Jun06,83,2289
Jun07,84,2334
Jun08,85,2368
Jun09,86,2416
Jun10,87,2452
Jun11,88,2513
Jun12,89,2513
Jun13,90,2579
Jun14,91,2618
Jun15,92,2642
Jun16,93,2658
Jun17,94,2696
Jun18,95,2719
Jun19,96,2719
Jun20,97,2755
Jun21,98,2779
Jun22,99,2812
Jun23,100,2812
Jun24,101,2835
Jun25,102,2878
Jun26,103,2878
Jun27,104,2878
Jun28,105,2894
Jun29,106,2904
Jun30,107,2924
Jul01,108,2924
Jul02,109,2944
Jul03,110,2944
Jul04,111,2961
