day,dayNo,case
Apr08,1,1
Apr09,2,1
Apr10,3,1
Apr11,4,1
Apr12,5,1
Apr13,6,2
Apr14,7,2
Apr15,8,5
Apr16,9,5
Apr17,10,6
Apr18,11,7
Apr19,12,7
Apr20,13,8
Apr21,14,8
Apr22,15,8
Apr23,16,16
Apr24,17,16
Apr25,18,18
Apr26,19,23
Apr27,20,26
Apr28,21,28
Apr29,22,28
Apr30,23,28
May01,24,28
May02,25,31
May03,26,32
May04,27,35
May05,28,38
May06,29,39
May07,30,44
May08,31,44
May09,32,48
May10,33,51
May11,34,52
May12,35,52
May13,36,52
May14,37,53
May15,38,53
May16,39,55
May17,40,56
May18,41,57
May19,42,59
May20,43,61
May21,44,61
May22,45,61
May23,46,61
May24,47,61
May25,48,66
May26,49,67
May27,50,67
May28,51,72
May29,52,72
May30,53,73
May31,54,78
Jun01,55,79
Jun02,56,79
Jun03,57,79
Jun04,58,79
Jun05,59,79
Jun06,60,82
Jun07,61,83
Jun08,62,84
Jun09,63,85
Jun10,64,85
Jun11,65,85
Jun12,66,85
Jun13,67,87
Jun14,68,88
Jun15,69,88
Jun16,70,88
Jun17,71,88
Jun18,72,88
Jun19,73,88
Jun20,74,88
Jun21,75,90
Jun22,76,90
Jun23,77,90
Jun24,78,90
Jun25,79,90
Jun26,80,90
Jun27,81,90
Jun28,82,90
Jun29,83,90
Jun30,84,90
Jul01,85,90
Jul02,86,90
Jul03,87,90
Jul04,88,92
