day,dayNo,case
Mar05,1,1
Mar06,2,1
Mar07,3,2
Mar08,4,3
Mar09,5,7
Mar10,6,7
Mar11,7,13
Mar12,8,16
Mar13,9,24
Mar14,10,38
Mar15,11,61
Mar16,12,64
Mar17,13,85
Mar18,14,116
Mar19,15,150
Mar20,16,202
Mar21,17,240
Mar22,18,274
Mar23,19,402
Mar24,20,554
Mar25,21,709
Mar26,22,927
Mar27,23,1170
Mar28,24,1187
Mar29,25,1280
Mar30,26,1326
Mar31,27,1353
Apr01,28,1380
Apr02,29,1462
Apr03,30,1505
Apr04,31,1585
Apr05,32,1655
Apr06,33,1686
Apr07,34,1749
Apr08,35,1845
Apr09,36,1934
Apr10,37,2003
Apr11,38,2028
Apr12,39,2173
Apr13,40,2272
Apr14,41,2415
Apr15,42,2506
Apr16,43,2605
Apr17,44,2783
Apr18,45,3034
Apr19,46,3158
Apr20,47,3300
Apr21,48,3465
Apr22,49,3635
Apr23,50,3953
Apr24,51,4220
Apr25,52,4361
Apr26,53,4546
Apr27,54,4793
Apr28,55,4996
Apr29,56,5350
Apr30,57,5647
May01,58,5951
May02,59,6336
May03,60,6783
May04,61,7220
May05,62,7572
May06,63,7808
May07,64,8232
May08,65,8895
May09,66,9420
May10,67,10015
May11,68,10652
May12,69,11350
May13,70,12074
May14,71,12739
May15,72,13524
May16,73,14355
May17,74,15515
May18,75,16433
May19,76,17200
May20,77,18003
May21,78,19137
May22,79,20125
May23,80,21343
May24,81,22583
May25,82,23615
May26,83,24264
May27,84,25937
May28,85,27403
May29,86,29240
May30,87,30967
May31,88,32683
Jun01,89,34357
Jun02,90,35812
Jun03,91,37525
Jun04,92,40792
Jun05,93,43434
Jun06,94,45973
Jun07,95,48285
Jun08,96,50879
Jun09,97,52991
Jun10,98,55421
Jun11,99,58568
Jun12,100,61927
Jun13,101,65736
Jun14,102,70038
Jun15,103,73533
Jun16,104,76334
Jun17,105,80412
Jun18,106,83890
Jun19,107,87715
Jun20,108,92681
Jun21,109,97302
Jun22,110,101590
Jun23,111,106108
Jun24,112,111796
Jun25,113,118375
Jun26,114,124590
Jun27,115,131800
Jun28,116,138134
Jun29,117,144264
Jun30,118,151209
Jul01,119,159333
Jul02,120,168061
Jul03,121,177124
Jul04,122,187977
