day,dayNo,case
Mar27,1,1
Mar28,2,1
Mar29,3,2
Mar30,4,3
Mar31,5,5
Apr01,6,5
Apr02,7,5
Apr03,8,9
Apr04,9,9
Apr05,10,11
Apr06,11,12
Apr07,12,13
Apr08,13,18
Apr09,14,18
Apr10,15,24
Apr11,16,25
Apr12,17,25
Apr13,18,27
Apr14,19,27
Apr15,20,34
Apr16,21,48
Apr17,22,50
Apr18,23,52
Apr19,24,54
Apr20,25,58
Apr21,26,58
Apr22,27,65
Apr23,28,75
Apr24,29,79
Apr25,30,86
Apr26,31,87
Apr27,32,90
Apr28,33,93
Apr29,34,103
Apr30,35,103
May01,36,116
May02,37,123
May03,38,131
May04,39,138
May05,40,148
May06,41,153
May07,42,161
May08,43,178
May09,44,186
May10,45,194
May11,46,206
May12,47,206
May13,48,219
May14,49,238
May15,50,247
May16,51,261
May17,52,264
May18,53,286
May19,54,312
May20,55,339
May21,56,369
May22,57,397
May23,58,407
May24,59,429
May25,60,481
May26,61,524
May27,62,552
May28,63,577
May29,64,611
May30,65,643
May31,66,683
Jun01,67,705
Jun02,68,755
Jun03,69,792
Jun04,70,848
Jun05,71,908
Jun06,72,952
Jun07,73,998
Jun08,74,1080
Jun09,75,1162
Jun10,76,1210
Jun11,77,1284
Jun12,78,1354
Jun13,79,1423
Jun14,80,1480
Jun15,81,1568
Jun16,82,1625
Jun17,83,1674
Jun18,84,1737
Jun19,85,1831
Jun20,86,1877
Jun21,87,1930
Jun22,88,1991
Jun23,89,2102
Jun24,90,2205
Jun25,91,2292
Jun26,92,2340
Jun27,93,2413
Jun28,94,2456
Jun29,95,2529
Jun30,96,2657
Jul01,97,2749
Jul02,98,2844
Jul03,99,2952
Jul04,100,3026
