day,dayNo,case
Apr05,1,1
Apr06,2,1
Apr07,3,2
Apr08,4,2
Apr09,5,3
Apr10,6,4
Apr11,7,4
Apr12,8,4
Apr13,9,4
Apr14,10,4
Apr15,11,4
Apr16,12,4
Apr17,13,4
Apr18,14,4
Apr19,15,4
Apr20,16,4
Apr21,17,4
Apr22,18,4
Apr23,19,4
Apr24,20,5
Apr25,21,5
Apr26,22,6
Apr27,23,6
Apr28,24,34
Apr29,25,34
Apr30,26,35
May01,27,45
May02,28,45
May03,29,46
May04,30,46
May05,31,52
May06,32,58
May07,33,74
May08,34,120
May09,35,120
May10,36,120
May11,37,156
May12,38,194
May13,39,203
May14,40,203
May15,41,236
May16,42,236
May17,43,290
May18,44,290
May19,45,290
May20,46,290
May21,47,481
May22,48,563
May23,49,655
May24,50,655
May25,51,806
May26,52,806
May27,53,994
May28,54,994
May29,55,994
May30,56,994
May31,57,994
Jun01,58,994
Jun02,59,994
Jun03,60,994
Jun04,61,994
Jun05,62,994
Jun06,63,994
Jun07,64,1317
Jun08,65,1604
Jun09,66,1604
Jun10,67,1604
Jun11,68,1670
Jun12,69,1670
Jun13,70,1693
Jun14,71,1693
Jun15,72,1693
Jun16,73,1776
Jun17,74,1813
Jun18,75,1830
Jun19,76,1864
Jun20,77,1882
Jun21,78,1892
Jun22,79,1916
Jun23,80,1930
Jun24,81,1942
Jun25,82,1942
Jun26,83,1942
Jun27,84,1942
Jun28,85,1989
Jun29,86,1989
Jun30,87,2007
Jul01,88,2021
Jul02,89,2021
Jul03,90,2021
Jul04,91,2021
