day,dayNo,case
May15,1,4
May16,2,4
May17,3,4
May18,4,4
May19,5,4
May20,6,4
May21,7,4
May22,8,6
May23,9,8
May24,10,8
May25,11,8
May26,12,8
May27,13,10
May28,14,10
May29,15,10
May30,16,10
May31,17,10
Jun01,18,10
Jun02,19,10
Jun03,20,10
Jun04,21,10
Jun05,22,10
Jun06,23,10
Jun07,24,14
Jun08,25,19
Jun09,26,19
Jun10,27,19
Jun11,28,24
Jun12,29,24
Jun13,30,27
Jun14,31,27
Jun15,32,27
Jun16,33,30
Jun17,34,31
Jun18,35,32
Jun19,36,34
Jun20,37,34
Jun21,38,34
Jun22,39,35
Jun23,40,36
Jun24,41,36
Jun25,42,36
Jun26,43,36
Jun27,44,36
Jun28,45,36
Jun29,46,36
Jun30,47,38
Jul01,48,38
Jul02,49,38
Jul03,50,38
Jul04,51,38
