day,dayNo,case
Feb15,1,2
Feb16,2,2
Feb17,3,2
Feb18,4,2
Feb19,5,2
Feb20,6,2
Feb21,7,2
Feb22,8,2
Feb23,9,2
Feb24,10,3
Feb25,11,9
Feb26,12,13
Feb27,13,25
Feb28,14,33
Feb29,15,58
Mar01,16,84
Mar02,17,120
Mar03,18,165
Mar04,19,228
Mar05,20,282
Mar06,21,401
Mar07,22,525
Mar08,23,674
Mar09,24,1231
Mar10,25,1695
Mar11,26,2277
Mar12,27,3146
Mar13,28,5232
Mar14,29,6391
Mar15,30,7988
Mar16,31,9942
Mar17,32,11826
Mar18,33,14769
Mar19,34,18077
Mar20,35,21571
Mar21,36,25496
Mar22,37,28768
Mar23,38,35136
Mar24,39,42058
Mar25,40,49515
Mar26,41,57786
Mar27,42,65719
Mar28,43,73235
Mar29,44,80110
Mar30,45,87956
Mar31,46,95923
Apr01,47,104118
Apr02,48,112065
Apr03,49,119199
Apr04,50,126168
Apr05,51,131646
Apr06,52,136675
Apr07,53,141942
Apr08,54,148220
Apr09,55,153222
Apr10,56,158273
Apr11,57,163027
Apr12,58,166831
Apr13,59,170099
Apr14,60,174060
Apr15,61,180659
Apr16,62,184948
Apr17,63,190839
Apr18,64,194416
Apr19,65,198674
Apr20,66,200210
Apr21,67,204178
Apr22,68,208389
