day,dayNo,case
Mar03,1,1
Mar04,2,2
Mar05,3,3
Mar06,4,8
Mar07,5,10
Mar08,6,17
Mar09,7,30
Mar10,8,36
Mar11,9,55
Mar12,10,86
Mar13,11,133
Mar14,12,196
Mar15,13,294
Mar16,14,342
Mar17,15,533
Mar18,16,638
Mar19,17,831
Mar20,18,1093
Mar21,19,1381
Mar22,20,1772
Mar23,21,2311
Mar24,22,2991
Mar25,23,3647
Mar26,24,4365
Mar27,25,5138
Mar28,26,5982
Mar29,27,6803
Mar30,28,7716
Mar31,29,8464
Apr01,30,9387
Apr02,31,10348
Apr03,32,11198
Apr04,33,11947
Apr05,34,12641
Apr06,35,13341
Apr07,36,14045
Apr08,37,14792
Apr09,38,15447
Apr10,39,16081
Apr11,40,16606
Apr12,41,17209
Apr13,42,17756
Apr14,43,18255
Apr15,44,18812
Apr16,45,19130
Apr17,46,19478
Apr18,47,20043
Apr19,48,20453
Apr20,49,20852
Apr21,50,21282
Apr22,51,21717
Apr23,52,22157
Apr24,53,22524
Apr25,54,22902
Apr26,55,23190
Apr27,56,23521
Apr28,57,23822
Apr29,58,24275
Apr30,59,24543
May01,60,24824
