day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,1
Feb27,13,1
Feb28,14,1
Feb29,15,1
Mar01,16,1
Mar02,17,1
Mar03,18,1
Mar04,19,1
Mar05,20,1
Mar06,21,1
Mar07,22,1
Mar08,23,1
Mar09,24,1
Mar10,25,1
Mar11,26,2
Mar12,27,3
Mar13,28,6
Mar14,29,10
Mar15,30,18
Mar16,31,28
Mar17,32,44
Mar18,33,51
Mar19,34,60
Mar20,35,73
Mar21,36,77
Mar22,37,82
Mar23,38,97
Mar24,39,102
Mar25,40,102
Mar26,41,106
Mar27,42,106
Mar28,43,113
Mar29,44,117
Mar30,45,122
Mar31,46,143
Apr01,47,146
Apr02,48,151
Apr03,49,159
Apr04,50,166
Apr05,51,176
Apr06,52,178
Apr07,53,185
Apr08,54,189
Apr09,55,190
Apr10,56,190
Apr11,57,198
Apr12,58,210
Apr13,59,217
Apr14,60,233
Apr15,61,238
Apr16,62,238
Apr17,63,244
Apr18,64,254
Apr19,65,271
Apr20,66,304
Apr21,67,310
Apr22,68,330
Apr23,69,368
Apr24,70,417
Apr25,71,452
Apr26,72,523
Apr27,73,588
Apr28,74,619
Apr29,75,649
Apr30,76,663
May01,77,690
