day,dayNo,case
Mar28,1,1
Mar29,2,1
Mar30,3,2
Mar31,4,2
Apr01,5,3
Apr02,6,4
Apr03,7,4
Apr04,8,5
Apr05,9,5
Apr06,10,5
Apr07,11,6
Apr08,12,7
Apr09,13,7
Apr10,14,7
Apr11,15,7
Apr12,16,7
Apr13,17,7
Apr14,18,7
Apr15,19,7
Apr16,20,7
Apr17,21,7
Apr18,22,7
Apr19,23,7
Apr20,24,7
Apr21,25,7
Apr22,26,7
Apr23,27,7
Apr24,28,7
Apr25,29,7
Apr26,30,7
Apr27,31,7
Apr28,32,7
Apr29,33,7
Apr30,34,7
May01,35,7
May02,36,7
May03,37,7
May04,38,8
May05,39,9
May06,40,9
May07,41,9
May08,42,9
May09,43,9
May10,44,9
May11,45,9
May12,46,9
May13,47,9
May14,48,9
May15,49,9
May16,50,9
May17,51,9
May18,52,9
May19,53,9
May20,54,9
May21,55,9
May22,56,9
May23,57,9
May24,58,9
May25,59,10
May26,60,10
May27,61,10
May28,62,10
May29,63,10
May30,64,10
May31,65,10
Jun01,66,11
Jun02,67,11
Jun03,68,11
Jun04,69,11
Jun05,70,11
Jun06,71,11
Jun07,72,11
Jun08,73,11
Jun09,74,11
Jun10,75,11
Jun11,76,11
Jun12,77,11
Jun13,78,11
Jun14,79,11
Jun15,80,11
Jun16,81,11
Jun17,82,11
Jun18,83,11
Jun19,84,11
Jun20,85,11
Jun21,86,11
Jun22,87,11
Jun23,88,11
Jun24,89,11
Jun25,90,11
Jun26,91,11
Jun27,92,11
Jun28,93,11
Jun29,94,11
Jun30,95,11
Jul01,96,11
Jul02,97,11
Jul03,98,11
Jul04,99,11
