day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,1
Mar18,6,2
Mar19,7,2
Mar20,8,2
Mar21,9,2
Mar22,10,2
Mar23,11,2
Mar24,12,3
Mar25,13,3
Mar26,14,3
Mar27,15,3
Mar28,16,5
Mar29,17,6
Mar30,18,6
Mar31,19,7
Apr01,20,7
Apr02,21,8
Apr03,22,10
Apr04,23,10
Apr05,24,12
Apr06,25,12
Apr07,26,14
Apr08,27,14
Apr09,28,15
Apr10,29,17
Apr11,30,19
Apr12,31,19
Apr13,32,29
Apr14,33,32
Apr15,34,32
Apr16,35,32
Apr17,36,33
Apr18,37,66
Apr19,38,66
Apr20,39,107
Apr21,40,140
Apr22,41,140
Apr23,42,162
Apr24,43,174
Apr25,44,213
Apr26,45,237
Apr27,46,275
Apr28,47,318
Apr29,48,375
Apr30,49,442
May01,50,442
May02,51,592
May03,52,592
May04,53,678
May05,54,778
May06,55,852
May07,56,930
May08,57,1111
May09,58,1164
May10,59,1365
May11,60,1526
May12,61,1661
May13,62,1818
May14,63,1818
May15,64,1964
May16,65,2289
May17,66,2289
May18,67,2591
May19,68,2728
May20,69,2728
May21,70,3138
May22,71,3378
May23,72,3378
May24,73,3628
May25,74,3820
May26,75,3976
May27,76,4146
May28,77,4346
May29,78,4521
May30,79,4800
May31,80,5026
Jun01,81,5173
Jun02,82,5310
Jun03,83,5499
Jun04,84,5714
Jun05,85,5865
Jun06,86,6081
Jun07,87,6081
Jun08,88,6242
Jun09,89,6427
Jun10,90,6582
Jun11,91,6582
Jun12,92,6879
Jun13,93,7007
Jun14,94,7220
Jun15,95,7435
Jun16,96,7740
Jun17,97,8020
Jun18,98,8020
Jun19,99,8316
Jun20,100,8416
Jun21,101,8580
Jun22,102,8698
Jun23,103,8889
Jun24,104,8889
Jun25,105,8984
Jun26,106,9257
Jun27,107,9257
Jun28,108,9257
Jun29,109,9257
Jun30,110,9257
Jul01,111,9573
Jul02,112,9573
Jul03,113,9663
Jul04,114,9663
