day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,1
Mar18,6,1
Mar19,7,1
Mar20,8,1
Mar21,9,1
Mar22,10,1
Mar23,11,1
Mar24,12,1
Mar25,13,1
Mar26,14,1
Mar27,15,1
Mar28,16,1
Mar29,17,1
Mar30,18,2
Mar31,19,2
Apr01,20,2
Apr02,21,2
Apr03,22,2
Apr04,23,2
Apr05,24,2
Apr06,25,2
Apr07,26,2
Apr08,27,2
Apr09,28,2
Apr10,29,2
Apr11,30,2
Apr12,31,2
Apr13,32,4
Apr14,33,5
Apr15,34,5
Apr16,35,5
Apr17,36,6
Apr18,37,10
Apr19,38,10
Apr20,39,12
Apr21,40,13
Apr22,41,13
Apr23,42,13
Apr24,43,16
Apr25,44,17
Apr26,45,21
Apr27,46,22
Apr28,47,25
Apr29,48,28
Apr30,49,31
May01,50,31
May02,51,41
May03,52,41
May04,53,41
May05,54,45
May06,55,49
May07,56,52
May08,57,59
May09,58,64
May10,59,70
May11,60,74
May12,61,80
May13,62,90
May14,63,90
May15,64,91
May16,65,97
May17,66,97
May18,67,105
May19,68,111
May20,69,111
May21,70,121
May22,71,137
May23,72,137
May24,73,146
May25,74,165
May26,75,170
May27,76,184
May28,77,195
May29,78,233
May30,79,262
May31,80,286
Jun01,81,298
Jun02,82,307
Jun03,83,314
Jun04,84,333
Jun05,85,347
Jun06,86,359
Jun07,87,359
Jun08,88,372
Jun09,89,389
Jun10,90,401
Jun11,91,401
Jun12,92,433
Jun13,93,447
Jun14,94,459
Jun15,95,468
Jun16,96,477
Jun17,97,487
Jun18,98,487
Jun19,99,506
Jun20,100,513
Jun21,101,521
Jun22,102,533
Jun23,103,548
Jun24,104,548
Jun25,105,556
Jun26,106,572
Jun27,107,572
Jun28,108,572
Jun29,109,572
Jun30,110,572
Jul01,111,602
Jul02,112,602
Jul03,113,604
Jul04,114,604
