day,dayNo,case
Feb15,1,1
Feb16,2,1
Feb17,3,1
Feb18,4,1
Feb19,5,1
Feb20,6,1
Feb21,7,1
Feb22,8,1
Feb23,9,1
Feb24,10,1
Feb25,11,1
Feb26,12,2
Feb27,13,7
Feb28,14,11
Feb29,15,13
Mar01,16,14
Mar02,17,15
Mar03,18,30
Mar04,19,52
Mar05,20,94
Mar06,21,137
Mar07,22,161
Mar08,23,203
Mar09,24,260
Mar10,25,355
Mar11,26,500
Mar12,27,687
Mar13,28,814
Mar14,29,961
Mar15,30,1040
Mar16,31,1121
Mar17,32,1196
Mar18,33,1301
Mar19,34,1439
Mar20,35,1639
Mar21,36,1770
Mar22,37,1934
Mar23,38,2046
Mar24,39,2299
Mar25,40,2526
Mar26,41,2840
Mar27,42,3069
Mar28,43,3447
Mar29,44,3700
Mar30,45,4028
Mar31,46,4435
Apr01,47,4947
Apr02,48,5568
Apr03,49,6131
Apr04,50,6443
Apr05,51,6830
Apr06,52,7206
Apr07,53,7693
Apr08,54,8419
Apr09,55,9141
Apr10,56,9685
Apr11,57,10151
Apr12,58,10483
Apr13,59,10948
Apr14,60,11445
Apr15,61,11927
Apr16,62,12540
Apr17,63,13216
Apr18,64,13822
Apr19,65,14385
Apr20,66,14777
Apr21,67,15322
Apr22,68,16004
