day,dayNo,case
Mar11,1,1
Mar12,2,1
Mar13,3,2
Mar14,4,3
Mar15,5,5
Mar16,6,7
Mar17,7,8
Mar18,8,14
Mar19,9,21
Mar20,10,30
Mar21,11,38
Mar22,12,49
Mar23,13,60
Mar24,14,81
Mar25,15,103
Mar26,16,134
Mar27,17,166
Mar28,18,201
Mar29,19,239
Mar30,20,284
Mar31,21,332
Apr01,22,385
Apr02,23,455
Apr03,24,535
Apr04,25,605
Apr05,26,690
Apr06,27,780
Apr07,28,864
Apr08,29,979
Apr09,30,1065
Apr10,31,1155
Apr11,32,1258
Apr12,33,1355
Apr13,34,1440
Apr14,35,1531
Apr15,36,1646
Apr16,37,1757
Apr17,38,1839
Apr18,39,1925
Apr19,40,2013
Apr20,41,2097
Apr21,42,2159
Apr22,43,2236
Apr23,44,2322
Apr24,45,2411
Apr25,46,2484
Apr26,47,2559
Apr27,48,2632
Apr28,49,2714
Apr29,50,2798
Apr30,51,2876
May01,52,2954
May02,53,3027
May03,54,3102
May04,55,3186
May05,56,3258
May06,57,3331
May07,58,3411
May08,59,3471
May09,60,3538
May10,61,3612
May11,62,3676
May12,63,3737
May13,64,3787
May14,65,3833
May15,66,3890
May16,67,3938
May17,68,3991
May18,69,4052
May19,70,4091
May20,71,4145
May21,72,4198
May22,73,4253
May23,74,4309
May24,75,4352
May25,76,4394
May26,77,4422
May27,78,4461
May28,79,4501
May29,80,4541
May30,81,4580
May31,82,4625
Jun01,83,4665
Jun02,84,4701
Jun03,85,4727
Jun04,86,4772
Jun05,87,4810
Jun06,88,4839
Jun07,89,4872
Jun08,90,4910
Jun09,91,4944
Jun10,92,4983
Jun11,93,5017
Jun12,94,5045
Jun13,95,5078
Jun14,96,5104
Jun15,97,5133
Jun16,98,5161
Jun17,99,5192
Jun18,100,5220
Jun19,101,5247
Jun20,102,5273
Jun21,103,5292
Jun22,104,5310
Jun23,105,5335
Jun24,106,5357
Jun25,107,5370
Jun26,108,5373
Jun27,109,5380
Jun28,110,5392
Jun29,111,5402
Jun30,112,5406
Jul01,113,5408
Jul02,114,5408
Jul03,115,5420
Jul04,116,5420
