day,dayNo,case
Feb25,1,1
Feb26,2,1
Feb27,3,8
Feb28,4,15
Feb29,5,19
Mar01,6,24
Mar02,7,30
Mar03,8,58
Mar04,9,93
Mar05,10,120
Mar06,11,214
Mar07,12,268
Mar08,13,332
Mar09,14,374
Mar10,15,497
Mar11,16,652
Mar12,17,868
Mar13,18,1139
Mar14,19,1375
Mar15,20,2217
Mar16,21,2353
Mar17,22,2742
Mar18,23,3115
Mar19,24,4222
Mar20,25,5615
Mar21,26,6863
Mar22,27,7474
Mar23,28,8795
Mar24,29,9877
Mar25,30,10897
Mar26,31,11811
Mar27,32,12928
Mar28,33,14076
Mar29,34,14829
Mar30,35,15922
Mar31,36,16605
Apr01,37,17768
Apr02,38,18827
Apr03,39,19606
Apr04,40,20505
Apr05,41,21100
Apr06,42,21657
Apr07,43,22253
Apr08,44,23280
Apr09,45,24051
Apr10,46,24551
Apr11,47,25107
Apr12,48,25415
Apr13,49,25688
Apr14,50,25936
Apr15,51,26336
Apr16,52,26732
Apr17,53,27078
Apr18,54,27404
Apr19,55,27740
Apr20,56,27944
Apr21,57,28063
Apr22,58,28268
Apr23,59,28496
Apr24,60,28677
Apr25,61,28894
Apr26,62,29061
Apr27,63,29164
Apr28,64,29264
Apr29,65,29407
Apr30,66,29586
May01,67,29705
May02,68,29817
May03,69,29905
May04,70,29981
May05,71,30009
May06,72,30060
May07,73,30126
May08,74,30207
May09,75,30251
May10,76,30305
May11,77,30344
May12,78,30380
May13,79,30413
May14,80,30463
May15,81,30514
May16,82,30572
May17,83,30587
May18,84,30597
May19,85,30618
May20,86,30658
May21,87,30694
May22,88,30707
May23,89,30725
May24,90,30736
May25,91,30746
May26,92,30761
May27,93,30776
May28,94,30796
May29,95,30828
May30,96,30845
May31,97,30862
Jun01,98,30871
Jun02,99,30874
Jun03,100,30893
Jun04,101,30913
Jun05,102,30936
Jun06,103,30956
Jun07,104,30965
Jun08,105,30972
Jun09,106,30988
Jun10,107,31011
Jun11,108,31044
Jun12,109,31063
Jun13,110,31094
Jun14,111,31117
Jun15,112,31131
Jun16,113,31154
Jun17,114,31187
Jun18,115,31200
Jun19,116,31235
Jun20,117,31243
Jun21,118,31292
Jun22,119,31310
Jun23,120,31332
Jun24,121,31376
Jun25,122,31428
Jun26,123,31486
Jun27,124,31555
Jun28,125,31617
Jun29,126,31652
Jun30,127,31714
Jul01,128,31851
Jul02,129,31967
Jul03,130,32101
Jul04,131,32198
