day,dayNo,case
Mar05,1,1
Mar06,2,1
Mar07,3,1
Mar08,4,2
Mar09,5,2
Mar10,6,3
Mar11,7,4
Mar12,8,7
Mar13,9,11
Mar14,10,13
Mar15,11,14
Mar16,12,19
Mar17,13,27
Mar18,14,33
Mar19,15,43
Mar20,16,56
Mar21,17,80
Mar22,18,98
Mar23,19,120
Mar24,20,122
Mar25,21,153
Mar26,22,192
Mar27,23,231
Mar28,24,264
Mar29,25,300
Mar30,26,359
Mar31,27,433
Apr01,28,488
Apr02,29,536
Apr03,30,591
Apr04,31,666
Apr05,32,715
Apr06,33,765
Apr07,34,821
Apr08,35,895
Apr09,36,948
Apr10,37,1002
Apr11,38,1036
Apr12,39,1106
Apr13,40,1138
Apr14,41,1174
Apr15,42,1239
Apr16,43,1281
Apr17,44,1327
Apr18,45,1368
Apr19,46,1393
Apr20,47,1429
Apr21,48,1478
Apr22,49,1509
Apr23,50,1549
Apr24,51,1589
Apr25,52,1599
Apr26,53,1610
Apr27,54,1665
Apr28,55,1699
Apr29,56,1716
Apr30,57,1737
May01,58,1754
