day,dayNo,case
Apr30,1,15
May01,2,15
May02,3,76
May03,4,128
May04,5,230
May05,6,293
May06,7,379
May07,8,461
May08,9,522
May09,10,612
May10,11,612
May11,12,661
May12,13,729
May13,14,801
May14,15,907
May15,16,1118
May16,17,1322
May17,18,1524
May18,19,1729
May19,20,1936
May20,21,2140
May21,22,2350
May22,23,2551
May23,24,2738
May24,25,2929
May25,26,3100
May26,27,3266
May27,28,3424
May28,29,3563
May29,30,3686
May30,31,3807
May31,32,3930
Jun01,33,4013
Jun02,34,4100
Jun03,35,4191
Jun04,36,4289
Jun05,37,4370
Jun06,38,4453
Jun07,39,4529
Jun08,40,4609
Jun09,41,4690
Jun10,42,4763
Jun11,43,4834
Jun12,44,4902
Jun13,45,4971
Jun14,46,5035
Jun15,47,5097
Jun16,48,5160
Jun17,49,5221
Jun18,50,5279
Jun19,51,5338
Jun20,52,5399
Jun21,53,5457
Jun22,54,5513
Jun23,55,5567
Jun24,56,5630
Jun25,57,5691
Jun26,58,5747
Jun27,59,5799
Jun28,60,5849
Jun29,61,5900
Jun30,62,5900
Jul01,63,6005
Jul02,64,6058
Jul03,65,6058
Jul04,66,6159
