day,dayNo,case
May02,1,2
May03,2,2
May04,3,3
May05,4,5
May06,5,8
May07,6,12
May08,7,12
May09,8,20
May10,9,20
May11,10,21
May12,11,21
May13,12,23
May14,13,29
May15,14,33
May16,15,36
May17,16,39
May18,17,41
May19,18,41
May20,19,41
May21,20,44
May22,21,44
May23,22,44
May24,23,46
May25,24,46
May26,25,47
May27,26,47
May28,27,47
May29,28,47
May30,29,47
May31,30,47
Jun01,31,47
Jun02,32,47
Jun03,33,48
Jun04,34,48
Jun05,35,48
Jun06,36,48
Jun07,37,48
Jun08,38,48
Jun09,39,48
Jun10,40,48
Jun11,41,49
Jun12,42,49
Jun13,43,50
Jun14,44,50
Jun15,45,50
Jun16,46,50
Jun17,47,51
Jun18,48,51
Jun19,49,51
Jun20,50,52
Jun21,51,52
Jun22,52,52
Jun23,53,52
Jun24,54,52
Jun25,55,52
Jun26,56,52
Jun27,57,52
Jun28,58,52
Jun29,59,52
Jun30,60,52
Jul01,61,52
Jul02,62,52
Jul03,63,52
Jul04,64,52
