day,dayNo,case
Feb15,1,34
Feb16,2,34
Feb17,3,35
Feb18,4,35
Feb19,5,35
Feb20,6,35
Feb21,7,35
Feb22,8,35
Feb23,9,35
Feb24,10,35
Feb25,11,37
Feb26,12,40
Feb27,13,40
Feb28,14,41
Feb29,15,42
Mar01,16,42
Mar02,17,43
Mar03,18,43
Mar04,19,43
Mar05,20,47
Mar06,21,48
Mar07,22,50
Mar08,23,50
Mar09,24,50
Mar10,25,53
Mar11,26,59
Mar12,27,70
Mar13,28,75
Mar14,29,82
Mar15,30,114
Mar16,31,147
Mar17,32,177
Mar18,33,212
Mar19,34,272
Mar20,35,322
Mar21,36,411
Mar22,37,599
Mar23,38,721
Mar24,39,827
Mar25,40,934
Mar26,41,1045
Mar27,42,1136
Mar28,43,1245
Mar29,44,1388
Mar30,45,1524
Mar31,46,1651
Apr01,47,1771
Apr02,48,1875
Apr03,49,1978
Apr04,50,2067
Apr05,51,2169
Apr06,52,2220
Apr07,53,2258
Apr08,54,2369
Apr09,55,2423
Apr10,56,2473
Apr11,57,2518
Apr12,58,2551
Apr13,59,2579
Apr14,60,2613
Apr15,61,2643
Apr16,62,2672
Apr17,63,2700
Apr18,64,2733
Apr19,65,2765
Apr20,66,2792
Apr21,67,2811
Apr22,68,2826
Apr23,69,2839
Apr24,70,2854
Apr25,71,2907
Apr26,72,2922
Apr27,73,2931
Apr28,74,2938
Apr29,75,2947
Apr30,76,2954
May01,77,2960
May02,78,2966
May03,79,2969
May04,80,2987
May05,81,2988
May06,82,2989
May07,83,2992
May08,84,3000
May09,85,3004
May10,86,3009
May11,87,3015
May12,88,3017
May13,89,3017
May14,90,3018
May15,91,3025
May16,92,3025
May17,93,3028
May18,94,3031
May19,95,3033
May20,96,3034
May21,97,3037
May22,98,3037
May23,99,3040
May24,100,3040
May25,101,3042
May26,102,3045
May27,103,3054
May28,104,3065
May29,105,3076
May30,106,3077
May31,107,3081
Jun01,108,3082
Jun02,109,3083
Jun03,110,3084
Jun04,111,3101
Jun05,112,3102
Jun06,113,3104
Jun07,114,3112
Jun08,115,3119
Jun09,116,3121
Jun10,117,3125
Jun11,118,3125
Jun12,119,3129
Jun13,120,3134
Jun14,121,3135
Jun15,122,3135
Jun16,123,3135
Jun17,124,3135
Jun18,125,3141
Jun19,126,3146
Jun20,127,3147
Jun21,128,3148
Jun22,129,3151
Jun23,130,3156
Jun24,131,3157
Jun25,132,3158
Jun26,133,3162
Jun27,134,3162
Jun28,135,3162
Jun29,136,3169
Jun30,137,3171
Jul01,138,3173
Jul02,139,3179
Jul03,140,3180
Jul04,141,3185
