day,dayNo,case
Mar01,1,1
Mar02,2,1
Mar03,3,1
Mar04,4,1
Mar05,5,1
Mar06,6,1
Mar07,7,1
Mar08,8,1
Mar09,9,1
Mar10,10,1
Mar11,11,1
Mar12,12,1
Mar13,13,1
Mar14,14,1
Mar15,15,1
Mar16,16,1
Mar17,17,1
Mar18,18,1
Mar19,19,1
Mar20,20,1
Mar21,21,1
Mar22,22,1
Mar23,23,1
Mar24,24,4
Mar25,25,4
Mar26,26,4
Mar27,27,5
Mar28,28,6
Mar29,29,7
Mar30,30,9
Mar31,31,10
Apr01,32,12
Apr02,33,15
Apr03,34,19
Apr04,35,20
Apr05,36,23
Apr06,37,26
Apr07,38,27
Apr08,39,30
Apr09,40,32
Apr10,41,33
Apr11,42,35
Apr12,43,38
Apr13,44,40
Apr14,45,41
Apr15,46,43
Apr16,47,46
Apr17,48,47
Apr18,49,47
Apr19,50,47
Apr20,51,47
Apr21,52,48
Apr22,53,49
Apr23,54,50
Apr24,55,50
Apr25,56,51
Apr26,57,51
Apr27,58,52
Apr28,59,54
Apr29,60,54
Apr30,61,54
May01,62,54
