day,dayNo,case
Mar02,1,1
Mar03,2,1
Mar04,3,1
Mar05,4,1
Mar06,5,1
Mar07,6,1
Mar08,7,2
Mar09,8,5
Mar10,9,6
Mar11,10,7
Mar12,11,13
Mar13,12,16
Mar14,13,18
Mar15,14,20
Mar16,15,24
Mar17,16,27
Mar18,17,29
Mar19,18,39
Mar20,19,54
Mar21,20,60
Mar22,21,75
Mar23,22,89
Mar24,23,114
Mar25,24,173
Mar26,25,197
Mar27,26,227
Mar28,27,278
Mar29,28,312
Mar30,29,362
Mar31,30,394
Apr01,31,423
Apr02,32,455
Apr03,33,495
Apr04,34,553
Apr05,35,574
Apr06,36,596
Apr07,37,623
Apr08,38,628
Apr09,39,643
Apr10,40,671
Apr11,41,685
Apr12,42,707
Apr13,43,726
Apr14,44,747
Apr15,45,780
Apr16,46,822
Apr17,47,864
Apr18,48,866
Apr19,49,879
Apr20,50,884
Apr21,51,901
Apr22,52,909
Apr23,53,918
Apr24,54,922
Apr25,55,939
Apr26,56,949
Apr27,57,967
Apr28,58,975
Apr29,59,980
Apr30,60,994
May01,61,998
May02,62,1009
May03,63,1013
May04,64,1018
May05,65,1022
May06,66,1025
May07,67,1026
May08,68,1030
May09,69,1032
May10,70,1032
May11,71,1032
May12,72,1032
May13,73,1032
May14,74,1032
May15,75,1035
May16,76,1037
May17,77,1037
May18,78,1043
May19,79,1043
May20,80,1045
May21,81,1046
May22,82,1048
May23,83,1048
May24,84,1048
May25,85,1051
May26,86,1051
May27,87,1051
May28,88,1068
May29,89,1071
May30,90,1076
May31,91,1077
Jun01,92,1084
Jun02,93,1086
Jun03,94,1087
Jun04,95,1087
Jun05,96,1087
Jun06,97,1087
Jun07,98,1087
Jun08,99,1087
Jun09,100,1087
Jun10,101,1087
Jun11,102,1087
Jun12,103,1093
Jun13,104,1094
Jun14,105,1096
Jun15,106,1110
Jun16,107,1125
Jun17,108,1128
Jun18,109,1132
Jun19,110,1146
Jun20,111,1156
Jun21,112,1157
Jun22,113,1159
Jun23,114,1159
Jun24,115,1160
Jun25,116,1162
Jun26,117,1164
Jun27,118,1168
Jun28,119,1169
Jun29,120,1172
Jun30,121,1174
Jul01,122,1175
Jul02,123,1178
Jul03,124,1181
Jul04,125,1186
