day,dayNo,case
Mar19,1,1
Mar20,2,1
Mar21,3,1
Mar22,4,3
Mar23,5,3
Mar24,6,4
Mar25,7,5
Mar26,8,5
Mar27,9,7
Mar28,10,8
Mar29,11,8
Mar30,12,9
Mar31,13,10
Apr01,14,12
Apr02,15,14
Apr03,16,18
Apr04,17,18
Apr05,18,22
Apr06,19,22
Apr07,20,23
Apr08,21,24
Apr09,22,25
Apr10,23,25
Apr11,24,28
Apr12,25,31
Apr13,26,34
Apr14,27,34
Apr15,28,35
Apr16,29,37
Apr17,30,37
Apr18,31,37
Apr19,32,38
Apr20,33,38
Apr21,34,38
Apr22,35,38
Apr23,36,38
Apr24,37,38
Apr25,38,38
Apr26,39,38
Apr27,40,39
Apr28,41,40
Apr29,42,40
Apr30,43,41
May01,44,41
