day,dayNo,case
Mar10,1,1
Mar11,2,1
Mar12,3,1
Mar13,4,5
Mar14,5,6
Mar15,6,18
Mar16,7,47
Mar17,8,98
Mar18,9,191
Mar19,10,359
Mar20,11,670
Mar21,12,947
Mar22,13,1236
Mar23,14,1529
Mar24,15,1872
Mar25,16,2433
Mar26,17,3629
Mar27,18,5698
Mar28,19,7402
Mar29,20,9217
Mar30,21,10827
Mar31,22,13531
Apr01,23,15679
Apr02,24,18135
Apr03,25,20921
Apr04,26,23934
Apr05,27,27069
Apr06,28,30217
Apr07,29,34109
Apr08,30,38226
Apr09,31,42282
Apr10,32,47029
Apr11,33,52167
Apr12,34,56956
Apr13,35,61049
Apr14,36,65111
Apr15,37,69392
Apr16,38,74193
Apr17,39,78546
Apr18,40,82329
Apr19,41,86306
Apr20,42,90980
Apr21,43,95591
Apr22,44,98674
Apr23,45,101790
Apr24,46,104912
Apr25,47,107773
Apr26,48,110130
Apr27,49,112261
Apr28,50,114653
Apr29,51,117589
Apr30,52,120204
May01,53,122392
May02,54,124375
May03,55,126045
May04,56,127659
May05,57,129491
May06,58,131744
May07,59,133721
May08,60,135569
May09,61,137115
May10,62,138657
May11,63,139771
May12,64,141475
May13,65,143114
May14,66,144749
May15,67,146457
May16,68,148067
May17,69,149435
May18,70,150593
May19,71,151615
May20,72,152587
May21,73,153548
May22,74,154500
May23,75,155686
May24,76,156827
May25,77,157814
May26,78,158762
May27,79,159797
May28,80,160979
May29,81,162120
May30,82,163103
May31,83,163942
Jun01,84,164769
Jun02,85,165555
Jun03,86,166422
Jun04,87,167410
Jun05,88,168340
Jun06,89,169218
Jun07,90,170132
Jun08,91,171121
Jun09,92,172114
Jun10,93,173036
Jun11,94,174023
Jun12,95,175218
Jun13,96,176677
Jun14,97,178239
Jun15,98,179831
Jun16,99,181298
Jun17,100,182727
Jun18,101,184031
Jun19,102,185245
Jun20,103,186493
Jun21,104,187685
Jun22,105,188897
Jun23,106,190165
Jun24,107,191657
Jun25,108,193115
Jun26,109,194511
Jun27,110,195883
Jun28,111,197239
Jun29,112,198613
Jun30,113,199906
Jul01,114,201098
Jul02,115,202284
Jul03,116,203456
Jul04,117,204610
