day,dayNo,case
Mar17,1,1
Mar18,2,2
Mar19,3,4
Mar20,4,9
Mar21,5,21
Mar22,6,30
Mar23,7,37
Mar24,8,44
Mar25,9,59
Mar26,10,75
Mar27,11,92
Mar28,12,108
Mar29,13,131
Mar30,14,168
Mar31,15,214
Apr01,16,277
Apr02,17,356
Apr03,18,425
Apr04,19,501
Apr05,20,574
Apr06,21,649
Apr07,22,725
Apr08,23,812
Apr09,24,908
Apr10,25,1006
Apr11,26,1101
Apr12,27,1198
Apr13,28,1296
Apr14,29,1403
Apr15,30,1518
Apr16,31,1643
Apr17,32,1769
Apr18,33,1890
Apr19,34,2017
Apr20,35,2140
Apr21,36,2259
Apr22,37,2376
Apr23,38,2491
Apr24,39,2600
Apr25,40,2706
Apr26,41,2805
Apr27,42,2900
Apr28,43,2992
Apr29,44,3081
Apr30,45,3174
May01,46,3258
