day,dayNo,case
Mar20,1,2
Mar21,2,2
Mar22,3,2
Mar23,4,2
Mar24,5,2
Mar25,6,2
Mar26,7,2
Mar27,8,2
Mar28,9,2
Mar29,10,3
Mar30,11,5
Mar31,12,6
Apr01,13,8
Apr02,14,8
Apr03,15,9
Apr04,16,10
Apr05,17,10
Apr06,18,11
Apr07,19,12
Apr08,20,12
Apr09,21,14
Apr10,22,16
Apr11,23,20
Apr12,24,22
Apr13,25,25
Apr14,26,28
Apr15,27,33
Apr16,28,35
Apr17,29,37
Apr18,30,37
Apr19,31,41
Apr20,32,43
Apr21,33,46
Apr22,34,52
Apr23,35,56
Apr24,36,64
Apr25,37,71
Apr26,38,76
Apr27,39,82
Apr28,40,89
Apr29,41,98
Apr30,42,105
May01,43,111
May02,44,119
May03,45,126
May04,46,137
May05,47,146
May06,48,157
May07,49,165
May08,50,174
May09,51,185
May10,52,198
May11,53,201
May12,54,203
May13,55,206
May14,56,208
May15,57,210
May16,58,214
May17,59,220
May18,60,224
May19,61,227
May20,62,233
May21,63,237
May22,64,241
May23,65,244
May24,66,245
May25,67,248
May26,68,253
May27,69,255
May28,70,258
May29,71,260
May30,72,262
May31,73,264
Jun01,74,266
Jun02,75,269
Jun03,76,270
Jun04,77,273
Jun05,78,274
Jun06,79,275
Jun07,80,276
Jun08,81,281
Jun09,82,283
Jun10,83,284
Jun11,84,286
Jun12,85,287
Jun13,86,288
Jun14,87,289
Jun15,88,291
Jun16,89,293
Jun17,90,295
Jun18,91,298
Jun19,92,300
Jun20,93,301
Jun21,94,302
Jun22,95,303
Jun23,96,305
Jun24,97,307
Jun25,98,308
Jun26,99,310
Jun27,100,311
Jun28,101,313
Jun29,102,314
Jun30,103,315
Jul01,104,316
Jul02,105,317
Jul03,106,318
Jul04,107,321
