day,dayNo,case
Feb15,1,9
Feb16,2,9
Feb17,3,9
Feb18,4,9
Feb19,5,9
Feb20,6,9
Feb21,7,9
Feb22,8,9
Feb23,9,13
Feb24,10,13
Feb25,11,13
Feb26,12,13
Feb27,13,16
Feb28,14,20
Feb29,15,23
Mar01,16,36
Mar02,17,39
Mar03,18,51
Mar04,19,87
Mar05,20,116
Mar06,21,164
Mar07,22,209
Mar08,23,278
Mar09,24,321
Mar10,25,383
Mar11,26,460
Mar12,27,590
Mar13,28,798
Mar14,29,1140
Mar15,30,1391
Mar16,31,1543
Mar17,32,1950
Mar18,33,2626
Mar19,34,3269
Mar20,35,3983
Mar21,36,5018
Mar22,37,5683
Mar23,38,6650
Mar24,39,8077
Mar25,40,9529
Mar26,41,11658
Mar27,42,14543
Mar28,43,17089
Mar29,44,19522
Mar30,45,22141
Mar31,46,25150
Apr01,47,29474
Apr02,48,33718
Apr03,49,38168
Apr04,50,41903
Apr05,51,47806
Apr06,52,51608
Apr07,53,55242
Apr08,54,60733
Apr09,55,65077
Apr10,56,73758
Apr11,57,78991
Apr12,58,84279
Apr13,59,88621
Apr14,60,93873
Apr15,61,98476
Apr16,62,103093
Apr17,63,108692
Apr18,64,114217
Apr19,65,120067
Apr20,66,124743
Apr21,67,129044
Apr22,68,133495
Apr23,69,138078
Apr24,70,143464
Apr25,71,148377
Apr26,72,152840
Apr27,73,157149
Apr28,74,161145
Apr29,75,165221
Apr30,76,171253
May01,77,177454
