day,dayNo,case
Mar05,1,1
Mar06,2,1
Mar07,3,1
Mar08,4,2
Mar09,5,3
Mar10,6,7
Mar11,7,7
Mar12,8,9
Mar13,9,10
Mar14,10,28
Mar15,11,43
Mar16,12,65
Mar17,13,81
Mar18,14,115
Mar19,15,158
Mar20,16,194
Mar21,17,250
Mar22,18,285
Mar23,19,359
Mar24,20,508
Mar25,21,694
Mar26,22,877
Mar27,23,1161
Mar28,24,1455
Mar29,25,1669
Mar30,26,2043
Mar31,27,2425
Apr01,28,3095
Apr02,29,3747
Apr03,30,4461
Apr04,31,5221
Apr05,32,5865
Apr06,33,6433
Apr07,34,7471
Apr08,35,8505
Apr09,36,9608
Apr10,37,10760
Apr11,38,11599
Apr12,39,12285
Apr13,40,13029
Apr14,41,14073
Apr15,42,14915
Apr16,43,15944
Apr17,44,16879
Apr18,45,17994
Apr19,46,18492
Apr20,47,19051
Apr21,48,20223
Apr22,49,21060
Apr23,50,21787
Apr24,51,22792
Apr25,52,23635
Apr26,53,24055
Apr27,54,24393
Apr28,55,25302
Apr29,56,26097
Apr30,57,26771
May01,58,27510
May02,59,28131
May03,60,28446
May04,61,28734
May05,62,29427
May06,63,30076
May07,64,30615
May08,65,31241
May09,66,31587
May10,67,31855
May11,68,32065
May12,69,32692
May13,70,33186
May14,71,33614
May15,72,33998
May16,73,34466
May17,74,34636
May18,75,34796
May19,76,35341
May20,77,35704
May21,78,36042
May22,79,36393
May23,80,36675
May24,81,37116
May25,82,37237
May26,83,37373
May27,84,37807
May28,85,38220
May29,86,38593
May30,87,38819
May31,88,38934
Jun01,89,39045
Jun02,90,39369
Jun03,91,39728
Jun04,92,39904
Jun05,93,40261
Jun06,94,40465
Jun07,95,40542
Jun08,96,40597
Jun09,97,40883
Jun10,98,41128
Jun11,99,41279
Jun12,100,41481
Jun13,101,41662
Jun14,102,41698
Jun15,103,41736
Jun16,104,41969
Jun17,105,42153
Jun18,106,42288
Jun19,107,42461
Jun20,108,42589
Jun21,109,42632
Jun22,110,42647
Jun23,111,42927
Jun24,112,43081
Jun25,113,43230
Jun26,114,43414
Jun27,115,43514
Jun28,116,43550
Jun29,117,43575
Jun30,118,43730
Jul01,119,43906
Jul02,120,43995
Jul03,121,44131
Jul04,122,44198
