day,dayNo,case
Feb15,1,15
Feb16,2,15
Feb17,3,15
Feb18,4,15
Feb19,5,15
Feb20,6,15
Feb21,7,35
Feb22,8,35
Feb23,9,35
Feb24,10,53
Feb25,11,57
Feb26,12,60
Feb27,13,60
Feb28,14,63
Feb29,15,68
Mar01,16,75
Mar02,17,100
Mar03,18,124
Mar04,19,158
Mar05,20,221
Mar06,21,319
Mar07,22,435
Mar08,23,541
Mar09,24,704
Mar10,25,994
Mar11,26,1301
Mar12,27,1631
Mar13,28,2185
Mar14,29,2774
Mar15,30,3622
Mar16,31,4610
Mar17,32,6364
Mar18,33,9330
Mar19,34,13929
Mar20,35,19601
Mar21,36,24487
Mar22,37,33930
Mar23,38,44301
Mar24,39,55548
Mar25,40,69099
Mar26,41,86610
Mar27,42,105509
Mar28,43,125155
Mar29,44,145412
Mar30,45,168680
Mar31,46,193954
Apr01,47,221035
Apr02,48,251578
Apr03,49,284504
Apr04,50,319153
Apr05,51,345025
Apr06,52,376745
Apr07,53,410788
Apr08,54,443276
Apr09,55,477331
Apr10,56,511545
Apr11,57,542003
Apr12,58,569831
Apr13,59,596902
Apr14,60,624307
Apr15,61,654964
Apr16,62,685069
Apr17,63,717538
Apr18,64,746706
Apr19,65,772870
Apr20,66,801062
Apr21,67,827269
Apr22,68,857544
Apr23,69,889581
Apr24,70,928685
Apr25,71,964180
Apr26,72,990738
Apr27,73,1013987
Apr28,74,1039537
Apr29,75,1068111
Apr30,76,1099090
May01,77,1135229
May02,78,1165076
May03,79,1192482
May04,80,1217225
May05,81,1242114
May06,82,1267680
May07,83,1297305
May08,84,1326579
May09,85,1352802
May10,86,1373608
May11,87,1392304
May12,88,1415320
May13,89,1437703
May14,90,1465788
May15,91,1493399
May16,92,1517723
May17,93,1537909
May18,94,1561436
May19,95,1582229
May20,96,1604892
May21,97,1633724
May22,98,1658383
May23,99,1680318
May24,100,1700242
May25,101,1720152
May26,102,1739548
May27,103,1760295
May28,104,1783368
May29,105,1809055
May30,106,1832813
May31,107,1853561
Jun01,108,1875985
Jun02,109,1898268
Jun03,110,1919094
Jun04,111,1941938
Jun05,112,1967359
Jun06,113,1990217
Jun07,114,2009147
Jun08,115,2028208
Jun09,116,2047291
Jun10,117,2068327
Jun11,118,2091812
Jun12,119,2119212
Jun13,120,2144699
Jun14,121,2164878
Jun15,122,2185776
Jun16,123,2211406
Jun17,124,2237660
Jun18,125,2265620
Jun19,126,2299198
Jun20,127,2332626
Jun21,128,2358742
Jun22,129,2390277
Jun23,130,2426338
Jun24,131,2464771
Jun25,132,2505004
Jun26,133,2552366
Jun27,134,2595963
Jun28,135,2636523
Jun29,136,2681287
Jun30,137,2727357
Jul01,138,2778452
Jul02,139,2835684
Jul03,140,2890588
Jul04,141,2935770
