day,dayNo,case
Feb29,1,1
Mar01,2,1
Mar02,3,6
Mar03,4,9
Mar04,5,11
Mar05,6,12
Mar06,7,15
Mar07,8,19
Mar08,9,22
Mar09,10,26
Mar10,11,30
Mar11,12,38
Mar12,13,41
Mar13,14,48
Mar14,15,58
Mar15,16,73
Mar16,17,95
Mar17,18,121
Mar18,19,171
Mar19,20,240
Mar20,21,310
Mar21,22,376
Mar22,23,512
Mar23,24,693
Mar24,25,962
Mar25,26,1269
Mar26,27,1628
Mar27,28,2129
Mar28,29,2779
Mar29,30,3280
Mar30,31,4102
Mar31,32,5201
Apr01,33,6460
Apr02,34,7671
Apr03,35,8953
Apr04,36,10530
Apr05,37,11953
Apr06,38,13476
Apr07,39,15743
Apr08,40,17953
Apr09,41,20099
Apr10,42,22379
Apr11,43,24445
Apr12,44,26201
Apr13,45,27947
Apr14,46,30573
Apr15,47,33263
Apr16,48,35517
Apr17,49,38113
Apr18,50,40034
Apr19,51,41628
Apr20,52,43609
Apr21,53,46358
Apr22,54,48767
Apr23,55,51169
Apr24,56,53161
Apr25,57,55271
Apr26,58,56441
Apr27,59,57844
Apr28,60,60381
Apr29,61,62823
Apr30,62,65097
May01,63,67044
May02,64,68774
May03,65,69949
May04,66,71287
May05,67,73691
May06,68,76265
May07,69,78438
May08,70,80151
May09,71,81602
May10,72,82817
May11,73,83892
May12,74,85804
May13,75,87661
May14,76,89452
May15,77,91089
May16,78,92328
May17,79,93210
May18,80,94228
May19,81,95810
May20,82,97242
May21,83,98674
May22,84,99996
May23,85,101049
May24,86,101675
May25,87,102311
May26,88,103094
May27,89,104657
May28,90,105896
May29,91,107130
May30,92,108163
May31,93,108814
Jun01,94,109509
Jun02,95,110656
Jun03,96,111760
Jun04,97,112810
Jun05,98,113798
Jun06,99,114515
Jun07,100,114899
Jun08,101,115497
Jun09,102,116602
Jun10,103,117600
Jun11,104,118518
Jun12,105,119318
Jun13,106,120034
Jun14,107,120370
Jun15,108,120802
Jun16,109,121661
Jun17,110,122480
Jun18,111,123238
Jun19,112,123967
Jun20,113,124549
Jun21,114,124820
Jun22,115,125189
Jun23,116,126060
Jun24,117,126879
Jun25,118,127532
Jun26,119,128195
Jun27,120,128707
Jun28,121,128992
Jun29,122,129358
Jun30,123,130085
Jul01,124,130761
Jul02,125,131448
Jul03,126,132064
Jul04,127,132318
