day,dayNo,case
Mar03,1,1
Mar04,2,1
Mar05,3,1
Mar06,4,1
Mar07,5,1
Mar08,6,1
Mar09,7,1
Mar10,8,1
Mar11,9,1
Mar12,10,3
Mar13,11,3
Mar14,12,3
Mar15,13,3
Mar16,14,7
Mar17,15,14
Mar18,16,16
Mar19,17,26
Mar20,18,41
Mar21,19,47
Mar22,20,73
Mar23,21,73
Mar24,22,102
Mar25,23,145
Mar26,24,196
Mar27,25,310
Mar28,26,356
Mar29,27,475
Mar30,28,548
Mar31,29,645
Apr01,30,794
Apr02,31,897
Apr03,32,1072
Apr04,33,1225
Apr05,34,1308
Apr06,35,1319
Apr07,36,1462
Apr08,37,1668
Apr09,38,1892
Apr10,39,2203
Apr11,40,2511
Apr12,41,2777
Apr13,42,3102
Apr14,43,3372
Apr15,44,3764
Apr16,45,4161
Apr17,46,4662
Apr18,47,5106
Apr19,48,5449
Apr20,49,5710
Apr21,50,6125
Apr22,51,6592
Apr23,52,7170
Apr24,53,7647
Apr25,54,8125
Apr26,55,8617
Apr27,56,9009
Apr28,57,9410
Apr29,58,9866
Apr30,59,10406
May01,60,10861
May02,61,11411
May03,62,11913
May04,63,12331
May05,64,12697
May06,65,13184
May07,66,13691
May08,67,14195
May09,68,14710
May10,69,15232
May11,70,15648
May12,71,16023
May13,72,16425
May14,73,16847
May15,74,17330
May16,75,17858
May17,76,18291
May18,77,18616
May19,78,18876
May20,79,19230
May21,80,19706
May22,81,20148
May23,82,20580
May24,83,20986
May25,84,21245
May26,85,21584
May27,86,21905
May28,87,22382
May29,88,22811
May30,89,23204
May31,90,23672
Jun01,91,24012
Jun02,92,24340
Jun03,93,24823
Jun04,94,25411
Jun05,95,25964
Jun06,96,26514
Jun07,97,26999
Jun08,98,27462
Jun09,99,27856
Jun10,100,28381
Jun11,101,29070
Jun12,102,29753
Jun13,103,30506
Jun14,104,31154
Jun15,105,31810
Jun16,106,32476
Jun17,107,33234
Jun18,108,34063
Jun19,109,34984
Jun20,110,35825
Jun21,111,36560
Jun22,112,37241
Jun23,113,38074
Jun24,114,39014
Jun25,115,40008
Jun26,116,41117
Jun27,117,42065
Jun28,118,42982
Jun29,119,43628
Jun30,120,44334
Jul01,121,44998
Jul02,122,45887
Jul03,123,46763
Jul04,124,47677
