day,dayNo,case
Mar13,1,1
Mar14,2,1
Mar15,3,1
Mar16,4,1
Mar17,5,2
Mar18,6,2
Mar19,7,3
Mar20,8,3
Mar21,9,3
Mar22,10,3
Mar23,11,3
Mar24,12,3
Mar25,13,5
Mar26,14,5
Mar27,15,5
Mar28,16,9
Mar29,17,10
Mar30,18,13
Mar31,19,17
Apr01,20,20
Apr02,21,22
Apr03,22,27
Apr04,23,32
Apr05,24,37
Apr06,25,38
Apr07,26,45
Apr08,27,52
Apr09,28,57
Apr10,29,69
Apr11,30,73
Apr12,31,83
Apr13,32,93
Apr14,33,98
Apr15,34,108
Apr16,35,116
Apr17,36,125
Apr18,37,133
Apr19,38,141
Apr20,39,151
Apr21,40,161
Apr22,41,174
Apr23,42,187
Apr24,43,193
Apr25,44,201
Apr26,45,209
Apr27,46,220
Apr28,47,239
Apr29,48,250
Apr30,49,261
May01,50,272
May02,51,279
May03,52,288
May04,53,303
May05,54,316
May06,55,327
May07,56,340
May08,57,361
May09,58,376
May10,59,391
May11,60,408
May12,61,425
May13,62,439
May14,63,456
May15,64,476
May16,65,497
May17,66,514
May18,67,535
May19,68,548
May20,69,564
May21,70,579
May22,71,588
May23,72,605
May24,73,617
May25,74,623
May26,75,644
May27,76,658
May28,77,669
May29,78,679
May30,79,696
May31,80,708
Jun01,81,718
Jun02,82,727
Jun03,83,735
Jun04,84,747
Jun05,85,762
Jun06,86,777
Jun07,87,788
Jun08,88,797
Jun09,89,810
Jun10,90,833
Jun11,91,854
Jun12,92,870
Jun13,93,880
Jun14,94,889
Jun15,95,901
Jun16,96,912
Jun17,97,943
Jun18,98,966
Jun19,99,985
Jun20,100,994
Jun21,101,1002
Jun22,102,1012
Jun23,103,1035
Jun24,104,1051
Jun25,105,1067
Jun26,106,1086
Jun27,107,1110
Jun28,108,1129
Jun29,109,1147
Jun30,110,1159
Jul01,111,1173
Jul02,112,1185
Jul03,113,1212
Jul04,114,1227
