day,dayNo,case
Mar13,1,4
Mar14,2,6
Mar15,3,6
Mar16,4,29
Mar17,5,50
Mar18,6,79
Mar19,7,79
Mar20,8,110
Mar21,9,110
Mar22,10,158
Mar23,11,162
Mar24,12,189
Mar25,13,217
Mar26,14,238
Mar27,15,238
Mar28,16,304
Mar29,17,304
Mar30,18,320
Mar31,19,338
Apr01,20,350
Apr02,21,350
Apr03,22,386
Apr04,23,400
Apr05,24,406
Apr06,25,415
Apr07,26,424
Apr08,27,456
Apr09,28,456
Apr10,29,473
Apr11,30,494
Apr12,31,512
Apr13,32,483
Apr14,33,492
Apr15,34,493
Apr16,35,502
Apr17,36,502
Apr18,37,517
Apr19,38,517
Apr20,39,535
Apr21,40,543
Apr22,41,549
Apr23,42,549
Apr24,43,563
Apr25,44,563
Apr26,45,596
Apr27,46,606
Apr28,47,620
Apr29,48,625
Apr30,49,643
May01,50,648
