day,dayNo,case
Mar15,1,4
Mar16,2,8
Mar17,3,11
Mar18,4,18
Mar19,5,23
Mar20,6,33
Mar21,7,41
Mar22,8,43
Mar23,9,46
Mar24,10,50
Mar25,11,60
Mar26,12,75
Mar27,13,88
Mar28,14,104
Mar29,15,144
Mar30,16,149
Mar31,17,172
Apr01,18,181
Apr02,19,205
Apr03,20,227
Apr04,21,266
Apr05,22,342
Apr06,23,457
Apr07,24,520
Apr08,25,545
Apr09,26,582
Apr10,27,624
Apr11,28,767
Apr12,29,865
Apr13,30,998
Apr14,31,1165
Apr15,32,1302
Apr16,33,1349
Apr17,34,1405
Apr18,35,1490
Apr19,36,1565
Apr20,37,1627
Apr21,38,1678
Apr22,39,1716
Apr23,40,1758
Apr24,41,1804
Apr25,42,1862
Apr26,43,1869
Apr27,44,1904
Apr28,45,1939
Apr29,46,2002
Apr30,47,2039
May01,48,2086
May02,49,2118
May03,50,2149
May04,51,2189
May05,52,2207
May06,53,2233
May07,54,2298
May08,55,2325
May09,56,2349
May10,57,2418
May11,58,2486
May12,59,2519
May13,60,2612
May14,61,2645
May15,62,2686
May16,63,2738
May17,64,2753
May18,65,2791
May19,66,2855
May20,67,2939
May21,68,2964
May22,69,3028
May23,70,3115
May24,71,3164
May25,72,3189
May26,73,3290
May27,74,3369
May28,75,3444
May29,76,3468
May30,77,3546
May31,78,3623
Jun01,79,3702
Jun02,80,3760
Jun03,81,3843
Jun04,82,3939
Jun05,83,4007
Jun06,84,4094
Jun07,85,4331
Jun08,86,4440
Jun09,87,4520
Jun10,88,4623
Jun11,89,4741
Jun12,90,4869
Jun13,91,4966
Jun14,92,5080
Jun15,93,5263
Jun16,94,5493
Jun17,95,5682
Jun18,96,5767
Jun19,97,5946
Jun20,98,6153
Jun21,99,6315
Jun22,100,6461
Jun23,101,6662
Jun24,102,6901
Jun25,103,7177
Jun26,104,7427
Jun27,105,7682
Jun28,106,7948
Jun29,107,8222
Jun30,108,8503
Jul01,109,8781
Jul02,110,9078
Jul03,111,9396
Jul04,112,9708
