day,dayNo,case
Mar27,1,1
Mar28,2,2
Mar29,3,2
Mar30,4,2
Mar31,5,2
Apr01,6,2
Apr02,7,2
Apr03,8,2
Apr04,9,2
Apr05,10,2
Apr06,11,2
Apr07,12,2
Apr08,13,3
Apr09,14,3
Apr10,15,3
Apr11,16,4
Apr12,17,4
Apr13,18,4
Apr14,19,4
Apr15,20,4
Apr16,21,4
Apr17,22,4
Apr18,23,5
Apr19,24,5
Apr20,25,5
Apr21,26,6
Apr22,27,7
Apr23,28,7
Apr24,29,8
Apr25,30,8
Apr26,31,8
Apr27,32,8
Apr28,33,8
Apr29,34,9
Apr30,35,9
May01,36,9
May02,37,9
May03,38,10
May04,39,10
May05,40,10
May06,41,10
May07,42,10
May08,43,10
May09,44,10
May10,45,10
May11,46,10
May12,47,10
May13,48,11
May14,49,11
May15,50,11
May16,51,11
May17,52,12
May18,53,13
May19,54,13
May20,55,13
May21,56,13
May22,57,13
May23,58,13
May24,59,13
May25,60,13
May26,61,14
May27,62,14
May28,63,14
May29,64,14
May30,65,14
May31,66,15
Jun01,67,15
Jun02,68,15
Jun03,69,16
Jun04,70,16
Jun05,71,16
Jun06,72,17
Jun07,73,17
Jun08,74,18
Jun09,75,18
Jun10,76,19
Jun11,77,19
Jun12,78,19
Jun13,79,19
Jun14,80,19
Jun15,81,19
Jun16,82,19
Jun17,83,19
Jun18,84,19
Jun19,85,19
Jun20,86,19
Jun21,87,19
Jun22,88,19
Jun23,89,19
Jun24,90,19
Jun25,91,20
Jun26,92,20
Jun27,93,20
Jun28,94,22
Jun29,95,23
Jun30,96,26
Jul01,97,26
Jul02,98,27
Jul03,99,29
Jul04,100,31
