day,dayNo,case
Mar13,1,2
Mar14,2,2
Mar15,3,17
Mar16,4,17
Mar17,5,33
Mar18,6,36
Mar19,7,42
Mar20,8,65
Mar21,9,70
Mar22,10,70
Mar23,11,84
Mar24,12,84
Mar25,13,106
Mar26,14,107
Mar27,15,113
Mar28,16,119
Mar29,17,119
Mar30,18,135
Mar31,19,135
Apr01,20,144
Apr02,21,146
Apr03,22,153
Apr04,23,155
Apr05,24,159
Apr06,25,165
Apr07,26,166
Apr08,27,167
Apr09,28,171
Apr10,29,175
Apr11,30,175
Apr12,31,181
Apr13,32,189
Apr14,33,189
Apr15,34,197
Apr16,35,204
Apr17,36,204
Apr18,37,227
Apr19,38,256
Apr20,39,285
Apr21,40,288
Apr22,41,298
Apr23,42,298
Apr24,43,318
Apr25,44,323
Apr26,45,325
Apr27,46,329
Apr28,47,329
Apr29,48,331
Apr30,49,333
May01,50,335
May02,51,345
May03,52,357
May04,53,357
May05,54,361
May06,55,379
May07,56,381
May08,57,388
May09,58,402
May10,59,414
May11,60,422
May12,61,423
May13,62,440
May14,63,455
May15,64,459
May16,65,504
May17,66,541
May18,67,618
May19,68,618
May20,69,824
May21,70,882
May22,71,944
May23,72,1010
May24,73,1121
May25,74,1177
May26,75,1211
May27,76,1245
May28,77,1325
May29,78,1370
May30,79,1459
May31,80,1510
Jun01,81,1662
Jun02,82,1819
Jun03,83,1952
Jun04,84,2087
Jun05,85,2145
Jun06,86,2316
Jun07,87,2377
Jun08,88,2473
Jun09,89,2632
Jun10,90,2738
Jun11,91,2814
Jun12,92,2879
Jun13,93,2904
Jun14,94,2904
Jun15,95,3062
Jun16,96,3150
Jun17,97,3386
Jun18,98,3483
Jun19,99,3591
Jun20,100,3789
Jun21,101,3917
Jun22,102,4048
Jun23,103,4187
Jun24,104,4366
Jun25,105,4563
Jun26,106,4779
Jun27,107,5130
Jun28,108,5297
Jun29,109,5530
Jun30,110,5832
Jul01,111,6062
Jul02,112,6273
Jul03,113,6537
Jul04,114,6750
