day,dayNo,case
Mar26,1,1
Mar27,2,2
Mar28,3,2
Mar29,4,3
Mar30,5,3
Mar31,6,3
Apr01,7,3
Apr02,8,5
Apr03,9,7
Apr04,10,7
Apr05,11,7
Apr06,12,7
Apr07,13,7
Apr08,14,9
Apr09,15,9
Apr10,16,9
Apr11,17,9
Apr12,18,9
Apr13,19,9
Apr14,20,9
Apr15,21,9
Apr16,22,9
Apr17,23,9
Apr18,24,9
Apr19,25,9
Apr20,26,10
Apr21,27,10
Apr22,28,10
Apr23,29,10
Apr24,30,10
Apr25,31,10
Apr26,32,10
Apr27,33,10
Apr28,34,10
Apr29,35,10
Apr30,36,10
May01,37,10
May02,38,10
May03,39,10
May04,40,10
May05,41,10
May06,42,10
May07,43,10
May08,44,10
May09,45,10
May10,46,10
May11,47,10
May12,48,10
May13,49,10
May14,50,10
May15,51,10
May16,52,10
May17,53,10
May18,54,10
May19,55,10
May20,56,10
May21,57,10
May22,58,10
May23,59,10
May24,60,10
May25,61,10
May26,62,11
May27,63,11
May28,64,11
May29,65,14
May30,66,14
May31,67,14
Jun01,68,17
Jun02,69,18
Jun03,70,20
Jun04,71,20
Jun05,72,20
Jun06,73,22
Jun07,74,22
Jun08,75,22
Jun09,76,23
Jun10,77,23
Jun11,78,23
Jun12,79,23
Jun13,80,24
Jun14,81,24
Jun15,82,26
Jun16,83,27
Jun17,84,28
Jun18,85,28
Jun19,86,30
Jun20,87,33
Jun21,88,33
Jun22,89,35
Jun23,90,35
Jun24,91,38
Jun25,92,39
Jun26,93,41
Jun27,94,42
Jun28,95,44
Jun29,96,48
Jun30,97,51
Jul01,98,54
Jul02,99,57
Jul03,100,59
Jul04,101,62
